day,home_team,away_team,home_score,away_score
1,Girondins de Bordeaux,Stade Rennais FC,4 , 1
1,FC Sochaux-Montbéliard,Nîmes Olympique,4 , 1
1,FC Rouen 1899,AJ Auxerre,2 , 0
1,RC Lens,FC Metz,3 , 2
1,AS Nancy-Lorraine,LOSC Lille,1 , 2
1,Toulouse FC,Paris Saint-Germain,1 , 1
1,Stade Lavallois,AS Saint-Etienne,1 , 1
1,SC Toulon,Stade Brestois 29,0 , 0
1,RC Strasbourg,SC Bastia,0 , 0
1,FC Nantes,AS Monaco FC,0 , 0
2,FC Sochaux-Montbéliard,Girondins de Bordeaux,3 , 1
2,AS Saint-Etienne,RC Lens,0 , 4
2,Stade Rennais FC,Toulouse FC,1 , 5
2,Paris Saint-Germain,SC Toulon,5 , 1
2,AS Monaco FC,Stade Lavallois,3 , 0
2,SC Bastia,FC Rouen 1899,0 , 0
2,LOSC Lille,RC Strasbourg,1 , 1
2,FC Metz,Stade Brestois 29,1 , 0
2,AJ Auxerre,FC Nantes,1 , 0
2,Nîmes Olympique,AS Nancy-Lorraine,1 , 1
3,RC Lens,AS Monaco FC,3 , 1
3,AS Nancy-Lorraine,FC Sochaux-Montbéliard,0 , 0
3,FC Rouen 1899,LOSC Lille,3 , 1
3,Girondins de Bordeaux,Nîmes Olympique,4 , 0
3,Toulouse FC,AJ Auxerre,0 , 2
3,FC Nantes,Paris Saint-Germain,3 , 1
3,SC Toulon,FC Metz,0 , 0
3,Stade Brestois 29,AS Saint-Etienne,3 , 2
3,RC Strasbourg,Stade Rennais FC,1 , 1
3,Stade Lavallois,SC Bastia,1 , 0
4,FC Sochaux-Montbéliard,RC Strasbourg,0 , 0
4,Paris Saint-Germain,RC Lens,3 , 0
4,AJ Auxerre,Stade Lavallois,3 , 0
4,LOSC Lille,Girondins de Bordeaux,1 , 1
4,Nîmes Olympique,FC Rouen 1899,2 , 1
4,AS Monaco FC,Stade Brestois 29,2 , 0
4,AS Nancy-Lorraine,FC Nantes,0 , 1
4,AS Saint-Etienne,FC Metz,2 , 2
4,SC Bastia,Toulouse FC,3 , 2
4,Stade Rennais FC,SC Toulon,1 , 2
5,RC Lens,AJ Auxerre,1 , 3
5,FC Metz,AS Monaco FC,0 , 4
5,Girondins de Bordeaux,AS Nancy-Lorraine,2 , 1
5,FC Rouen 1899,FC Sochaux-Montbéliard,1 , 0
5,FC Nantes,Stade Rennais FC,3 , 1
5,RC Strasbourg,Nîmes Olympique,1 , 0
5,Stade Lavallois,Paris Saint-Germain,2 , 0
5,Toulouse FC,LOSC Lille,2 , 1
5,Stade Brestois 29,SC Bastia,3 , 0
5,SC Toulon,AS Saint-Etienne,0 , 1
6,AJ Auxerre,Stade Brestois 29,5 , 0
6,AS Monaco FC,AS Saint-Etienne,3 , 1
6,Girondins de Bordeaux,SC Toulon,1 , 0
6,Paris Saint-Germain,FC Metz,2 , 0
6,Stade Rennais FC,FC Rouen 1899,2 , 1
6,SC Bastia,RC Lens,2 , 2
6,LOSC Lille,FC Nantes,2 , 0
6,FC Sochaux-Montbéliard,Stade Lavallois,0 , 1
6,AS Nancy-Lorraine,RC Strasbourg,3 , 2
6,Nîmes Olympique,Toulouse FC,3 , 0
7,FC Metz,AJ Auxerre,1 , 2
7,SC Toulon,AS Monaco FC,1 , 3
7,RC Strasbourg,Girondins de Bordeaux,2 , 2
7,FC Rouen 1899,AS Nancy-Lorraine,7 , 1
7,FC Nantes,Nîmes Olympique,4 , 0
7,Stade Lavallois,LOSC Lille,3 , 1
7,Stade Brestois 29,Paris Saint-Germain,2 , 2
7,Toulouse FC,FC Sochaux-Montbéliard,0 , 0
7,RC Lens,Stade Rennais FC,0 , 1
7,AS Saint-Etienne,SC Bastia,0 , 2
8,AJ Auxerre,AS Saint-Etienne,1 , 0
8,Paris Saint-Germain,AS Monaco FC,0 , 1
8,Girondins de Bordeaux,FC Rouen 1899,3 , 1
