day,home_team,away_team,home_score,away_score
1,Toulouse FC,Angers SCO,1 , 0
1,CS Sedan,Stade Rennais FC,3 , 1
1,FC Nantes,Olympique Lyonnais,2 , 0
1,AS Red Star 93,Valenciennes FC,2 , 0
1,AS Monaco FC,LOSC Lille,2 , 0
1,AS Saint-Etienne,Nîmes Olympique,2 , 1
1,AS Cannes,Girondins de Bordeaux,2 , 1
1,RC Lens,Stade Français,1 , 0
1,FC Sochaux-Montbéliard,OGC Nice,1 , 0
1,RC Strasbourg,FC Rouen 1899,0 , 0
2,CS Sedan,FC Sochaux-Montbéliard,3 , 0
2,FC Nantes,RC Lens,4 , 2
2,AS Saint-Etienne,AS Monaco FC,1 , 3
2,OGC Nice,RC Strasbourg,0 , 2
2,FC Rouen 1899,AS Cannes,1 , 0
2,Nîmes Olympique,AS Red Star 93,3 , 1
2,LOSC Lille,Toulouse FC,1 , 0
2,Valenciennes FC,Stade Rennais FC,2 , 1
2,Girondins de Bordeaux,Olympique Lyonnais,2 , 2
2,Angers SCO,Stade Français,0 , 0
3,AS Monaco FC,FC Rouen 1899,3 , 0
3,Stade Français,FC Nantes,0 , 1
3,RC Strasbourg,CS Sedan,3 , 3
3,AS Cannes,LOSC Lille,2 , 0
3,FC Sochaux-Montbéliard,AS Saint-Etienne,2 , 3
3,Nîmes Olympique,Valenciennes FC,2 , 2
3,Olympique Lyonnais,OGC Nice,2 , 0
3,Toulouse FC,Girondins de Bordeaux,0 , 0
3,RC Lens,Angers SCO,2 , 2
3,Stade Rennais FC,AS Red Star 93,2 , 1
4,FC Nantes,Angers SCO,5 , 3
4,CS Sedan,Nîmes Olympique,2 , 0
4,AS Saint-Etienne,Toulouse FC,3 , 0
4,Valenciennes FC,RC Strasbourg,3 , 2
4,Girondins de Bordeaux,Stade Français,10 , 0
4,FC Rouen 1899,Olympique Lyonnais,0 , 0
4,OGC Nice,AS Monaco FC,1 , 2
4,Stade Rennais FC,AS Cannes,2 , 2
4,LOSC Lille,RC Lens,1 , 1
4,AS Red Star 93,FC Sochaux-Montbéliard,1 , 1
5,AS Monaco FC,CS Sedan,3 , 3
5,RC Lens,FC Rouen 1899,0 , 0
5,Toulouse FC,FC Nantes,0 , 0
5,AS Cannes,AS Saint-Etienne,2 , 8
5,RC Strasbourg,AS Red Star 93,7 , 1
5,Olympique Lyonnais,LOSC Lille,6 , 3
5,FC Sochaux-Montbéliard,Valenciennes FC,1 , 1
5,Angers SCO,Girondins de Bordeaux,0 , 0
5,Nîmes Olympique,Stade Rennais FC,2 , 2
5,Stade Français,OGC Nice,2 , 1
6,OGC Nice,Toulouse FC,2 , 1
6,Girondins de Bordeaux,FC Nantes,1 , 2
6,AS Saint-Etienne,RC Strasbourg,5 , 1
6,CS Sedan,AS Cannes,3 , 1
6,FC Rouen 1899,Stade Français,2 , 1
6,Stade Rennais FC,FC Sochaux-Montbéliard,4 , 3
6,Valenciennes FC,AS Monaco FC,1 , 0
6,AS Red Star 93,Olympique Lyonnais,2 , 2
6,LOSC Lille,Angers SCO,1 , 0
6,Nîmes Olympique,RC Lens,4 , 5
7,Olympique Lyonnais,CS Sedan,2 , 1
7,AS Cannes,Valenciennes FC,0 , 1
7,FC Nantes,OGC Nice,2 , 1
7,Angers SCO,AS Saint-Etienne,1 , 1
7,AS Monaco FC,AS Red Star 93,2 , 1
7,RC Strasbourg,Stade Rennais FC,3 , 1
7,RC Lens,Girondins de Bordeaux,0 , 1
7,Toulouse FC,FC Rouen 1899,6 , 5
7,FC Sochaux-Montbéliard,Nîmes Olympique,3 , 1
7,Stade Français,LOSC Lille,1 , 1
8,Valenciennes FC,Olympique Lyonnais,1 , 0
8,FC Rouen 1899,FC Nantes,0 , 0
8,AS Saint-Etienne,Stade Français,0 , 0
8,CS Sedan,Angers SCO,3 , 1
8,LOSC Lille,Girondins de Bordeaux,0 , 0
8,Nîmes Olympique,RC Strasbourg,4 , 1
8,FC Sochaux-Montbéliard,Toulouse FC,0 , 1
8,OGC Nice,RC Lens,0 , 3
8,AS Red Star 93,AS Cannes,3 , 2
8,Stade Rennais FC,AS Monaco FC,0 , 1
9,FC Nantes,LOSC Lille,3 , 1
9,AS Monaco FC,Nîmes Olympique,4 , 0
9,RC Strasbourg,FC Sochaux-Montbéliard,5 , 1
9,Olympique Lyonnais,AS Saint-Etienne,1 , 1
9,Toulouse FC,CS Sedan,2 , 2
9,RC Lens,Valenciennes FC,1 , 1
9,Girondins de Bordeaux,FC Rouen 1899,4 , 1
9,Stade Français,AS Red Star 93,1 , 1
9,Angers SCO,Stade Rennais FC,5 , 3
9,AS Cannes,OGC Nice,1 , 3
10,FC Rouen 1899,LOSC Lille,1 , 1
10,AS Saint-Etienne,FC Nantes,0 , 3
