start	id	short_name	tsr_for	tsr_against	goals_for	goals_against	goals_diff	shots_for	shots_against	points_for	points_against
2015	124	Marseille	0.707	0.293	10	5	5	58	29	6	9
2015	142	PSG	0.660	0.340	9	2	7	73	35	13	1
2015	131	Lyon	0.623	0.377	6	2	4	55	31	8	5
2015	140	Toulouse	0.599	0.401	6	8	-2	58	41	5	8
2015	139	Nice	0.571	0.429	7	8	-1	43	40	5	8
2015	135	Montpellier	0.561	0.439	1	6	-5	45	33	1	13
2015	136	Bordeaux	0.551	0.449	6	5	1	65	57	6	6
2015	133	Monaco	0.522	0.478	4	5	-1	56	55	8	5
2015	127	Guingamp	0.499	0.501	3	5	-2	44	45	6	9
2015	149	Angers	0.475	0.525	6	4	2	29	34	8	5
2015	123	Bastia	0.470	0.530	8	8	0	36	42	7	7
2015	134	Lorient	0.448	0.552	5	7	-2	43	55	5	8
2015	141	Reims	0.448	0.552	9	5	4	55	59	10	4
2015	132	Rennes	0.447	0.553	9	4	5	34	46	12	3
2015	146	Troyes	0.438	0.562	4	12	-8	33	49	3	9
2015	129	Lille	0.436	0.564	1	1	0	37	44	6	6
2015	137	Nantes	0.428	0.572	2	4	-2	34	47	7	7
2015	128	St Etienne	0.426	0.574	7	5	2	36	50	10	4
2015	150	GFC Ajaccio	0.388	0.612	0	6	-6	37	52	1	13
2015	126	Caen	0.303	0.697	6	7	-1	18	45	9	6
