,on_target,shots,percentage,pdo_int,pdo,start,id,tsr_for,tsr_against,goals_for,goals_against,goals_diff,shots_for,shots_against,points_for,points_against,start,goal,start_x,start_y,degree,distance,shot_headed,crosses,corner,pass_throw_in,pass_long_ball,pass_through_ball,pass_headed,predict
Angers,38,101,0.38,1137,1137,2015,149,0.457,0.5429999999999999,12,6,6,66,86,21,6,2015,10,8187.400000000003,4703.600000000001,8202.285802899636,1997.8207905949114,19,36,8,0,2,0,6,9.01934812311373
Bastia,28,74,0.38,1072,1072,2015,123,0.385,0.615,12,16,-4,61,104,10,19,2015,12,6261.1,3658.700000000001,6444.479933021758,1534.7206544307487,11,29,9,0,5,1,5,6.80246475208358
Bordeaux,40,131,0.31,924,924,2015,136,0.598,0.402,13,16,-3,123,90,11,14,2015,11,10672.700000000003,6263.7,11218.293994386795,2705.6629973744093,24,51,25,1,1,1,5,10.902568057142886
Caen,55,129,0.43,993,993,2015,126,0.375,0.625,12,10,2,42,77,21,9,2015,12,10799.5,6474.500000000002,11513.981793877496,2818.478794974748,24,47,18,0,3,2,8,11.491924279409915
GFC Ajaccio,26,97,0.27,905,905,2015,150,0.38299999999999995,0.617,4,15,-11,62,94,3,24,2015,4,7686.700000000001,4590.700000000003,8302.252691285477,2356.2369391291845,16,30,13,0,3,1,7,5.695366609893949
Guingamp,43,123,0.35,976,976,2015,127,0.514,0.486,10,13,-3,84,85,14,14,2015,10,10257.3,6152.699999999997,11469.284317216427,2540.7388828199187,21,44,18,1,1,2,5,10.345735946983538
Lille,36,135,0.27,974,974,2015,129,0.433,0.5670000000000001,5,5,0,68,81,11,14,2015,4,11182.2,6933.5,12579.674246684655,2855.8706906623042,22,45,17,0,2,1,1,11.141239601036037
Lorient,41,106,0.39,1035,1035,2015,134,0.406,0.594,15,14,1,71,101,15,12,2015,13,8690.4,5115.399999999999,9125.022299403978,2265.420691283235,18,42,12,0,1,2,8,8.829456575301972
Lyon,52,143,0.36,1027,1027,2015,131,0.5660000000000001,0.434,12,7,5,102,75,16,10,2015,11,11718.799999999994,6931.199999999997,12282.590335737266,3024.1181809361115,25,46,23,0,2,2,2,11.190221794689284
Marseille,53,145,0.37,950,950,2015,124,0.645,0.355,15,12,3,111,69,9,18,2015,13,11941.200000000003,7231.000000000001,13318.730280573003,2866.576089368193,26,54,15,1,2,3,1,13.143766242170562
Monaco,47,119,0.39,997,997,2015,133,0.518,0.48200000000000004,14,15,-1,102,100,14,11,2015,12,9812.100000000004,5986.700000000001,10945.31016559108,2320.1334888399315,23,51,13,1,0,3,6,12.82314932708166
Montpellier,33,99,0.33,920,920,2015,135,0.48200000000000004,0.518,6,14,-8,80,85,5,23,2015,4,7967.200000000001,4899.1,8838.344543138064,1941.8120491238408,33,42,17,0,3,2,3,7.000961494065132
Nantes,30,92,0.33,1015,1015,2015,137,0.428,0.5720000000000001,9,12,-3,69,92,14,14,2015,8,7688.300000000001,4396.3,7624.06271674147,1847.94088222346,17,40,11,0,2,0,5,9.786083064066474
Nice,52,108,0.48,1106,1106,2015,139,0.5660000000000001,0.434,26,14,12,84,74,18,9,2015,24,8858.7,5300.3,9730.34163893877,2232.928636835236,11,28,8,1,1,1,1,10.73675061273121
PSG,62,150,0.41,1147,1147,2015,142,0.674,0.326,21,5,16,150,71,26,2,2015,19,12590.6,7323.6,13083.343612603103,2728.6418504241683,32,52,20,0,6,9,2,16.3528543720526
Reims,40,94,0.43,1068,1068,2015,141,0.51,0.49,11,8,3,95,94,15,12,2015,11,7748.500000000002,4582.200000000001,7963.179127170444,2047.1081723753741,13,27,8,0,1,0,5,9.166363261169032
Rennes,42,119,0.35,1027,1027,2015,132,0.479,0.521,14,12,2,81,89,16,10,2015,13,9643.800000000003,5962.9,11160.518811052143,2323.3365517430348,28,46,13,1,1,0,3,10.538510257677213
St Etienne,42,127,0.33,1027,1027,2015,128,0.51,0.49,13,10,3,80,82,19,10,2015,12,10426.399999999998,6170.100000000001,11494.462393167232,2583.8303222001837,21,34,16,2,4,1,1,12.7340975870649
Toulouse,45,128,0.35,849,849,2015,140,0.649,0.35100000000000003,11,17,-6,126,74,8,17,2015,10,10798.000000000004,6596.700000000002,12047.261284480923,2536.1148912543426,18,55,18,2,1,2,4,12.971004281024287
Troyes,33,118,0.28,866,866,2015,146,0.424,0.5760000000000001,5,19,-14,73,107,4,22,2015,5,9620.4,5732.9000000000015,10203.258912493742,2782.9653646464826,8,33,10,0,1,0,1,8.906904012223864
