start	short_name	goal	start_x	start_y	headed	predict
2013	Marseille	41	33263.5	20582.9	68	40.5354134608
2013	Monaco	55	40193.9	23866.8	69	49.5599434152
2013	Montpellier	42	36696.5	21857.0	72	45.4398425176
2013	Nantes	37	32744.1	19447.7	84	40.1432909249
2013	Nice	26	26907.2	16166.6	53	32.7126542058
2013	PSG	76	50141.2	29500.3	112	64.11606488
2013	Reims	38	33129.3	19558.1	67	40.0306906015
2013	Rennes	41	29446.1	17121.6	32	36.6892686313
2013	Sochaux	34	32536.5	18746.8	74	40.2354522391
2013	St Etienne	49	37770.4	22576.3	87	46.105061257
2013	Toulouse	41	34181.9	20062.0	71	42.8259727766
2013	Valenciennes	31	31034.5	18513.8	57	38.1203188922
