start	name	goal	start_x	start_y	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed	predict	count	ratio
2015	Abdel Barrada	1	1072.1	698.2	1294.57374039	258.932094796	1	4	0	0	0	0	0	1.5963371563	13	0.12279516587
2015	Abdoul Camara	2	1332.8	817.5	1449.18855132	361.202628519	2	3	0	0	0	0	0	1.15833466413	16	0.0723959165081
2015	Abdoulaye Doucouré	1	690.2	391.2	666.882823379	140.481793845	4	5	0	0	0	0	0	0.794093553477	8	0.0992616941846
2015	Adam Ounas	0	243.6	98.3	154.980271098	77.4642666848	0	1	0	0	0	0	0	0.268528867903	3	0.0895096226344
2015	Adama Traore	0	378.0	220.8	385.576861267	135.769691261	0	4	1	0	0	0	0	0.255221665818	5	0.0510443331635
2015	Adrien Rabiot	0	255.9	143.1	225.956219462	47.5803949926	2	2	2	0	0	0	0	0.175787393738	3	0.0585957979128
2015	Adrien Regattin	1	1113.7	862.7	1621.54774873	383.834027838	1	4	1	1	0	0	0	0.484830460634	14	0.0346307471881
2015	Adrien Thomasson	2	919.2	473.9	806.935659075	212.101851735	1	6	0	0	0	0	1	1.71723226034	11	0.156112023668
2015	Adryan	0	294.8	190.6	346.078116874	116.69540747	0	0	0	0	0	0	1	0.0936512830588	4	0.0234128207647
2015	Aissa Mandi	0	158.9	96.7	199.932046993	46.4052299112	1	1	1	0	0	0	0	0.0639497910583	2	0.0319748955292
2015	Alaeddine Yahia	0	742.6	379.0	550.114814042	63.8575416338	6	7	4	0	0	0	0	1.5184813666	8	0.189810170826
2015	Alassane Pléa	2	1567.2	999.7	1880.5179971	418.436378076	2	3	1	0	0	0	0	1.77243324048	19	0.0932859600254
2015	Aldo Kalulu	1	95.6	63.0	161.301017196	13.7244307714	0	0	0	0	0	0	0	0.210939512931	1	0.210939512931
2015	Alejandro Bedoya	0	965.4	541.2	906.253565334	181.912157218	4	8	3	0	0	0	0	1.4474829007	11	0.131589354609
2015	Aleksandar Pesic	0	164.8	119.0	230.747735924	40.2274127883	1	1	0	0	0	0	0	0.141273860062	2	0.0706369300308
2015	Alexandre Coeff	0	212.9	107.2	199.60875073	102.920288268	0	2	2	0	0	0	0	0.0211574428287	3	0.00705248094289
2015	Alexandre Lacazette	1	1552.6	910.1	1586.66344338	304.725492036	4	5	1	0	0	1	0	2.33645018898	18	0.129802788276
2015	Alexandre Mendy	1	180.8	79.0	84.3751139219	28.4821799745	1	0	0	0	0	0	0	0.245128822279	2	0.12256441114
2015	Alexis Blin	0	75.2	51.1	92.5396804503	24.8243831746	0	0	0	0	0	0	0	0.0414962800372	1	0.0414962800372
2015	Alexis Peuget	0	297.5	199.4	364.126569585	132.551141805	0	1	0	0	0	0	0	0.047878349125	4	0.0119695872812
2015	Almamy Touré	1	182.8	96.5	157.026760456	17.6015914941	1	2	1	0	0	0	0	0.452109448938	2	0.226054724469
2015	Amos Youga	0	385.4	173.1	263.838989706	144.929003274	0	1	0	0	0	0	0	0.17642394873	5	0.035284789746
2015	Andre Biyogo Poko	0	1345.9	681.4	1095.24087662	342.23103083	3	8	3	0	0	0	0	1.20533657345	16	0.0753335358407
2015	Andre Zambo Anguissa	0	85.7	54.2	106.367845606	14.9040263016	0	1	0	0	0	0	0	0.175749399638	1	0.175749399638
2015	Andrea Raggi	1	167.9	119.0	243.233391577	37.4053000515	0	1	1	0	0	1	1	0.219547063914	2	0.109773531957
2015	Andy Delort	3	4454.4	2654.4	4715.0406408	1267.40467494	10	15	5	0	2	0	3	3.90654001951	54	0.0723433336945
2015	Anthony Martial	0	97.4	48.3	56.8214883406	3.1064449134	1	1	0	0	0	0	1	0.324922577423	1	0.324922577423
2015	Anthony Mounier	0	165.0	91.4	139.813363823	37.7754607766	0	1	0	0	0	0	0	0.266576516623	2	0.133288258311
2015	Antoine Devaux	0	429.2	290.3	569.581150868	90.7701796548	0	1	1	0	0	0	0	0.63099372139	5	0.126198744278
2015	Arnold Bouka Moutou	0	76.4	57.0	106.520892189	24.6162547923	0	0	0	0	0	0	0	0.0432342357574	1	0.0432342357574
2015	Arnold Mvuemba	0	142.1	96.8	174.931969618	58.6219314814	0	1	0	0	0	0	0	0.0436830129865	2	0.0218415064933
2015	Atila Turan	1	491.4	363.7	712.032277179	132.398573115	0	2	0	0	0	0	0	0.83470074852	6	0.13911679142
2015	Axel Ngando	0	169.2	95.3	181.348872183	37.0009219229	0	1	0	0	0	0	0	0.253986080355	2	0.126993040178
2015	Baptiste Guillaume	0	532.1	325.1	627.638262829	100.353501305	2	2	0	0	1	0	0	0.626859942026	6	0.104476657004
2015	Benjamin André	0	240.4	169.4	320.034652556	64.2280510813	0	1	0	0	0	0	0	0.22031033608	3	0.0734367786935
2015	Benjamin Angoua	0	176.5	100.8	190.755606499	27.0713395522	1	1	1	0	0	0	0	0.20724241347	2	0.103621206735
2015	Benjamin Corgnet	0	269.4	135.0	234.590534587	48.2800351978	1	1	0	0	0	0	0	0.384443839711	3	0.12814794657
2015	Benjamin Jeannot	2	1153.9	619.8	1041.65429811	301.981322987	1	2	0	0	0	0	1	1.48576308775	14	0.106125934839
2015	Benjamin Mendy	1	308.9	240.5	459.396927347	99.9736748406	1	2	1	0	0	0	0	0.1502980812	4	0.0375745203001
2015	Benjamin Moukandjo	4	1660.6	1006.4	1893.72863568	307.703783641	8	10	1	0	0	1	0	2.55636585086	19	0.134545571098
2015	Benjamin Nivet	0	1064.6	675.0	1221.68476552	261.603161897	1	3	0	0	0	0	1	1.30999559246	13	0.100768891727
2015	Benjamin Pavard	0	154.2	99.2	183.44999303	46.2099059247	0	1	0	0	0	0	0	0.181724764848	2	0.090862382424
2015	Benoit Assou-Ekotto	0	225.1	195.0	361.762250016	89.0561717897	0	1	1	0	0	0	0	0.0501190044103	3	0.0167063348034
2015	Bernardo Silva	2	1556.2	826.8	1377.33708591	331.608099089	3	5	0	0	0	0	0	2.12227930649	18	0.117904405916
2015	Billy Ketkeophomphone	1	975.2	597.0	1087.81592983	286.937165088	0	5	0	0	0	0	0	0.993368021997	12	0.0827806684997
2015	Birama Toure	0	387.5	203.6	353.896882026	135.392392543	0	3	2	0	0	0	0	0.130470897996	5	0.0260941795992
2015	Blaise Matuidi	2	418.4	291.9	601.675057181	100.801111214	0	2	0	0	0	0	0	0.508980403533	5	0.101796080707
2015	Bouna Sarr	0	269.2	147.8	299.155966967	41.5813252028	1	1	0	0	0	0	0	0.52244047607	3	0.174146825357
2015	Brandão	1	622.5	316.2	543.639968427	101.536233968	2	4	0	0	1	0	0	1.09711462284	7	0.156730660406
2015	Brayan Perea	0	175.7	75.4	86.7399611885	34.9143500964	0	0	0	0	0	0	0	0.254163679056	2	0.127081839528
2015	Bryan Dabo	0	693.0	436.6	799.537104632	154.0202488	5	5	4	0	0	0	0	0.413122234276	8	0.0516402792845
2015	Chaouki Ben Saada	0	497.6	305.1	597.75412047	156.932501948	0	1	0	0	0	0	0	0.269785971603	6	0.0449643286004
2015	Cheick Diabaté	0	630.0	369.8	665.174285254	101.662822908	4	3	1	0	0	0	0	0.792464270856	7	0.113209181551
