"first_name";"last_name";"goal";"start_x";"start_y";"degree";"distance";"shot_headed";"crosses";"corner";"pass_throw_in";"pass_long_ball";"pass_through_ball";"pass_headed"
"Rami";"Bensebaini";0;70.3;66.6;119.201809603218;34.0242560535862;0;0;0;0;0;0;0
"Yoann";"Gourcuff";0;77.8;59;112.06789956241;23.9549577332126;0;0;0;0;0;0;1
"Wesley";"Said";0;93;50.6;94.8990924537878;7.02566722810012;0;1;0;0;0;0;0
"Giovanni";"Sio";0;88.3;46.6;73.7962257851092;12.1840059093879;1;1;0;0;0;0;0
"Pedro Filipe";"Teodósio Mendes";0;80.6;41.2;65.6005640758249;21.3025820031282;0;0;0;0;0;0;0
"Benjamin";"André";0;92.3;37.7;32.0472354866245;14.5113748487178;1;1;1;0;0;0;0
"Yoann";"Gourcuff";0;79.9;30.1;45.2864765102771;28.2846247986428;0;1;1;0;0;0;0
"Yoann";"Gourcuff";0;73.2;46.8;83.1909498203866;26.9903686525397;0;1;1;0;0;0;0
"Pedro Filipe";"Teodósio Mendes";0;68.1;36.7;67.3673828199171;34.5615393175709;0;0;0;0;0;0;0
"Kamil";"Grosicki";0;79.5;42.9;70.8969091087493;21.6946998135489;0;0;0;0;0;0;1
"Giovanni";"Sio";0;79.8;35.7;54.7045293212052;24.7493434256345;0;0;0;0;0;0;0
"Wesley";"Said";0;80.9;67.2;132.003781546689;25.7031126519727;0;0;0;0;0;0;0
"Kamil";"Grosicki";0;87.2;31.8;35.1185938796498;22.2503932549517;0;0;0;0;0;0;0
"Yoann";"Gourcuff";0;75.8;49.3;88.3431460524775;24.2101218501684;0;1;1;0;0;0;0
"Adama";"Diakhaby";0;92.4;51.3;99.7066524093397;7.71038261048049;1;1;1;0;0;0;0
"Steven";"Moreira";0;77.5;52.1;95.3321588816596;22.5977875023198;0;1;1;0;0;0;0
"Adama";"Diakhaby";0;92.9;39.1;33.0792614600777;13.0084587864973;1;0;0;0;0;0;0
"Ludovic";"Baal";0;93.9;60.4;149.606737354447;12.0569482042514;1;1;0;0;0;0;0
"Wesley";"Said";0;81.1;68.2;133.919075813339;26.2383307395878;0;1;1;0;0;0;1
"Benjamin";"André";0;77.2;74;136.468800714386;33.1034741379209;0;0;0;1;0;0;0
"Wesley";"Said";0;88.9;64;141.590608768149;17.8664490036493;0;1;0;0;0;0;0
"Yoann";"Gourcuff";1;79.8;43.9;73.1967235979643;21.1009478460092;0;0;0;0;0;0;0
"Giovanni";"Sio";0;88;31;32.2756443145776;22.4722050542442;0;0;0;0;0;0;0
"Wesley";"Said";0;88.5;67.3;146.386428796409;20.7735408633194;0;0;0;0;0;0;0
"Yoann";"Gourcuff";0;77.8;49.5;88.7097726479395;22.2056299167576;0;0;0;0;0;0;0
"Giovanni";"Sio";0;84.8;66.6;137.52082790771;22.507776433935;0;0;0;0;0;0;0
"Rami";"Bensebaini";0;91.2;41.2;45;12.4450793488832;1;1;1;0;0;0;0
"Giovanni";"Sio";1;86.8;54.2;107.65012421993;13.8520756567382;0;0;0;0;0;0;0
"Rami";"Bensebaini";0;72.1;50.5;91.0266961800579;27.9044799270655;0;0;0;0;0;0;0
"Ludovic";"Baal";0;83.8;69.7;140.568341839267;25.5054896051811;0;1;0;0;0;0;0
"Benjamin";"André";0;73.2;48.7;87.2229038930745;26.8315113253055;0;0;0;0;0;0;0
"Pedro";"Henrique";0;87.6;70.7;149.076965408129;24.1298570240273;0;0;0;0;0;0;0
"Ermir";"Lenjani";0;89.5;54.2;111.801409486352;11.3088460949825;0;1;0;0;0;0;0
"Romain";"Danze";0;91.7;54.2;116.840509533213;9.30215028904608;1;1;1;0;0;0;0
"Adama";"Diakhaby";0;81.4;27.4;39.454682691138;29.2697796370249;0;0;0;0;0;0;0
"Benjamin";"André";0;74.8;62.5;116.382871252041;28.1298773548695;0;0;0;0;0;0;0
"Adama";"Diakhaby";1;86.8;51.7;97.3386063362363;13.3090194980697;0;0;0;0;0;1;0
"Adama";"Diakhaby";0;78.8;39.9;64.5261650481846;23.4829725545979;0;0;0;0;0;0;0
"Wesley";"Said";0;92.2;67.8;156.336859291806;19.4339908407923;0;0;0;0;0;0;0
"Rami";"Bensebaini";0;71.8;61.6;112.359694175369;30.4926220584587;0;0;0;0;0;0;0
"Pedro";"Henrique";0;78.2;39.8;64.9255806581843;24.0682363292369;0;0;0;0;0;0;0
"Sanjin";"Prcic";1;86.9;51.6;96.9634685264881;13.1973482184869;0;0;0;0;0;0;0
"Giovanni";"Sio";0;86;49.7;88.7724211678655;14.0032139168121;0;0;0;0;0;0;0
"Giovanni";"Sio";0;80.6;66;129.513843574996;25.1467691761785;0;0;0;0;0;0;0
"Wesley";"Said";1;86.4;33.6;39.6678411183404;21.3053983769372;0;0;0;0;0;0;0
"Rami";"Bensebaini";0;76.4;70.3;130.701112975225;31.1295679378947;0;0;0;0;0;0;0
"Rami";"Bensebaini";0;91.2;43;51.4993462796546;11.2445542374965;1;1;1;0;0;0;0
"Giovanni";"Sio";0;85.8;34.3;42.1280375130072;21.1690812271105;0;0;0;0;0;0;0
"Ludovic";"Baal";0;73.8;76.5;135.326158409613;37.2651311550087;0;0;0;0;0;0;0
"Mehdi";"Zeffane";0;78.9;38;60.3722279513457;24.2736482630856;0;0;0;0;0;0;0
"Yoann";"Gourcuff";0;81.8;63.9;127.370284744636;22.9008733457919;0;0;0;0;0;0;0
"Adrien";"Hunou";1;93.5;51.1;99.605204155013;6.5924198895398;1;1;0;0;0;0;0
"Yoann";"Gourcuff";0;77.4;54.9;102.233194209036;23.1250945944011;0;1;1;0;0;0;0
