id	player_name	pass_team	home_team	away_team	pass_type	start_x	start_y	end_x	end_y
3182	Rio Mavuba	Lille	Lille	PSG	completed	58.0	73.2	64.0	53.8
3177	Sébastien Corchia	Lille	Lille	PSG	failed	67.0	33.1	69.3	39.3
3182	Rio Mavuba	Lille	Lille	PSG	failed	59.6	39.5	70.6	31.1
3397	Edinson Cavani	PSG	Lille	PSG	failed	69.7	55.6	89.7	56.0
4125	Benjamin Pavard	Lille	Lille	PSG	completed	68.1	20.9	63.1	43.4
4124	Sofiane Boufal	Lille	Lille	PSG	failed	66.9	56.2	79.7	35.0
3177	Sébastien Corchia	Lille	Lille	PSG	failed	71.4	33.5	81.6	39.3
3391	Thiago Silva	PSG	Lille	PSG	completed	80.9	60.0	81.6	46.4
3454	David Luiz	PSG	Lille	PSG	completed	92.0	57.3	97.2	30.1
3454	David Luiz	PSG	Lille	PSG	completed	37.9	72.6	80.8	36.0
3397	Edinson Cavani	PSG	Lille	PSG	failed	80.8	36.0	72.5	56.8
3391	Thiago Silva	PSG	Lille	PSG	completed	54.3	48.7	69.9	32.4
3359	Éric Bautheac	Lille	Lille	PSG	completed	61.3	67.1	64.6	33.1
3397	Edinson Cavani	PSG	Lille	PSG	completed	54.7	52.8	63.5	47.0
4124	Sofiane Boufal	Lille	Lille	PSG	failed	71.8	54.4	73.2	58.3
3395	Lucas Moura	PSG	Lille	PSG	failed	62.0	32.5	72.2	31.3
4013	Renato Civelli	Lille	Lille	PSG	failed	38.5	21.5	71.5	53.0
3451	Blaise Matuidi	PSG	Lille	PSG	completed	67.6	46.0	81.1	44.8
3397	Edinson Cavani	PSG	Lille	PSG	completed	68.4	52.8	67.4	46.8
3395	Lucas Moura	PSG	Lille	PSG	completed	61.8	48.1	68.4	52.8
3178	Florent Balmont	Lille	Lille	PSG	completed	67.3	74.2	71.3	59.9
3401	Serge Aurier	PSG	Lille	PSG	failed	42.6	18.4	60.9	36.6
3188	Ryan Mendes	Lille	Lille	PSG	completed	75.9	42.7	72.5	44.6
3178	Florent Balmont	Lille	Lille	PSG	completed	70.0	42.1	75.9	42.7
3188	Ryan Mendes	Lille	Lille	PSG	completed	67.8	13.9	64.7	30.1
3723	Mounir Obbadi	Lille	Lille	PSG	failed	64.6	68.7	75.9	38.3
3183	Djibril Sidibe	Lille	Lille	PSG	failed	56.8	83.0	92.6	53.2
3405	Marco Verratti	PSG	Lille	PSG	failed	55.4	49.1	61.1	50.7
4013	Renato Civelli	Lille	Lille	PSG	completed	59.8	21.7	61.5	55.2
3188	Ryan Mendes	Lille	Lille	PSG	completed	77.0	38.5	70.7	56.0
4124	Sofiane Boufal	Lille	Lille	PSG	completed	64.7	77.9	70.6	59.7
3183	Djibril Sidibe	Lille	Lille	PSG	completed	86.8	84.6	66.6	56.4
3188	Ryan Mendes	Lille	Lille	PSG	completed	67.2	18.2	72.9	35.2
3451	Blaise Matuidi	PSG	Lille	PSG	completed	75.4	75.0	69.1	59.3
3452	Maxwell	PSG	Lille	PSG	completed	68.1	64.8	60.9	59.5
3723	Mounir Obbadi	Lille	Lille	PSG	completed	61.8	29.5	67.3	50.1
3395	Lucas Moura	PSG	Lille	PSG	failed	80.5	31.5	86.1	57.7
3178	Florent Balmont	Lille	Lille	PSG	failed	79.5	25.6	90.1	58.9
4124	Sofiane Boufal	Lille	Lille	PSG	failed	68.7	50.1	73.4	43.2
3071	Junior Tallo	Lille	Lille	PSG	completed	67.7	28.7	68.0	40.5
3395	Lucas Moura	PSG	Lille	PSG	completed	47.1	22.1	72.3	59.1
3723	Mounir Obbadi	Lille	Lille	PSG	completed	56.5	69.3	71.9	48.3
4166	Kevin Trapp	PSG	Lille	PSG	failed	13.3	65.6	75.9	41.3
3176	Vincent Enyeama	Lille	Lille	PSG	failed	14.1	50.3	60.3	47.2
3071	Junior Tallo	Lille	Lille	PSG	failed	54.3	40.7	61.8	39.3
3559	Jean-Kevin Augustin	PSG	Lille	PSG	completed	97.4	29.9	84.8	51.3
3188	Ryan Mendes	Lille	Lille	PSG	completed	80.7	7.2	74.3	30.5
3451	Blaise Matuidi	PSG	Lille	PSG	completed	58.3	74.6	68.5	34.6
3183	Djibril Sidibe	Lille	Lille	PSG	completed	72.2	87.7	64.7	58.3
3177	Sébastien Corchia	Lille	Lille	PSG	completed	60.7	9.2	69.3	41.7
3359	Éric Bautheac	Lille	Lille	PSG	failed	63.2	62.0	70.7	55.2
3454	David Luiz	PSG	Lille	PSG	failed	27.8	37.0	78.2	35.2
