kickoff	venue	home_team	away_team	score	home_goals	away_goals	result_1	result_n	result_2	result	home_elo	away_elo	elo_diff	elo_swap	home_1m_elo_diff	away_1m_elo_diff
2012-08-10	Stade de la Mosson	Montpellier	Toulouse	1 - 1	1	1	0	1	0	2	1732	1620	112	3.1	0.56018	0.56018
2012-08-11	Stade du Ray	Nice	Ajaccio	0 - 1	0	1	0	0	1	3	1581	1544	37	11.1	3.46375	3.46375
2012-08-11	Stade de la Route-de-Lorient	Rennes	Lyon	0 - 1	0	1	0	0	1	3	1637	1708	71	8	3.46375	3.46375
2012-08-11	Parc des Sports, Annecy	Evian	Bordeaux	2 - 3	2	3	0	0	1	3	1591	1699	108	7	3.46375	3.46375
2012-08-11	Stade Bonal	Sochaux	Bastia	2 - 3	2	3	0	0	1	3	1574	1519	55	11.6	3.46375	3.46387
2012-08-11	Parc des Princes	PSG	Lorient	2 - 2	2	2	0	1	0	2	1748	1558	190	5	3.46375	3.46375
2012-08-11	Stade Marcel Picot	Nancy	Brest	1 - 0	1	0	1	0	0	1	1600	1569	31	9.1	3.46375	3.46375
2012-08-11	Stade Geoffroy-Guichard	St Etienne	Lille	1 - 2	1	2	0	0	1	3	1621	1768	147	6	3.46375	3.46375
2012-08-11	Stade de l'Aube	Troyes	Valenciennes	0 - 1	0	1	0	0	1	3	1490	1584	94	7.4	3.46375	3.46375
2012-08-12	Stade Auguste Delaune II	Reims	Marseille	0 - 1	0	1	0	0	1	3	1506	1676	170	5.5	3.46375	12.42749
2012-08-17	Grand Stade Lille Métropole	Lille	Nancy	1 - 1	1	1	0	1	0	2	1775	1605	170	4.5	9.88269	8.86438
2012-08-18	Stade de Gerland	Lyon	Troyes	4 - 1	4	1	1	0	0	1	1717	1483	234	4.1	11.74426	-4.39954
2012-08-18	Stadium Municipal	Toulouse	St Etienne	2 - 1	2	1	1	0	0	1	1628	1615	13	9.6	8.56335	-2.95508
2012-08-18	Stade du Moustoir	Lorient	Montpellier	2 - 1	2	1	1	0	0	1	1564	1730	166	14.4	10.06885	-1.63586
2012-08-18	Stade Francis-le Blé	Brest	Evian	1 - 0	1	0	1	0	0	1	1563	1583	20	10.6	-1.93689	-3.83191
2012-08-18	Stade du Hainaut	Valenciennes	Nice	0 - 0	0	0	0	1	0	2	1592	1569	23	0.7	11.32703	-7.91528
2012-08-18	Stade Armand-Cesari-Furiani	Bastia	Reims	2 - 1	2	1	1	0	0	1	1531	1500	31	9.1	14.79907	-2.34436
