kickoff	venue	home_team	away_team	score	home_goals	away_goals	result_1	result_n	result_2	result	home_elo	away_elo	elo_diff	elo_swap	home_1m_elo_diff	away_1m_elo_diff
2015-08-07	Stade Pierre-Mauroy	Lille	PSG	0 - 1	0	1	0	0	1	3	1645	1864	219	4.4	8.50696	8.50696
2015-08-08	La Beaujoire-Louis-Fonteneau	Nantes	Guingamp	1 - 0	1	0	1	0	0	1	1544	1569	25	10.7	8.29199	8.29199
2015-08-08	Stade Vélodrome	Marseille	Caen	0 - 1	0	1	0	0	1	3	1701	1577	124	13.4	8.29199	8.29199
2015-08-08	Stade de la Mosson	Montpellier	Angers	0 - 2	0	2	0	0	1	3	1617	1502	115	13.2	8.29187	8.29199
2015-08-08	Allianz Riviera	Nice	Monaco	1 - 2	1	2	0	0	1	3	1564	1770	206	4.7	8.29199	19.3667
2015-08-08	Stade Armand-Cesari	Bastia	Rennes	2 - 1	2	1	1	0	0	1	1575	1573	2	9.9	8.29187	8.29199
2015-08-08	Stade de l'Aube	Troyes	GFC Ajaccio	0 - 0	0	0	0	1	0	2	1564	1482	82	2.3	8.29187	8.29199
2015-08-09	Stadium Municipal	Toulouse	St Etienne	2 - 1	2	1	1	0	0	1	1535	1712	177	14.7	8.29199	12.32764
2015-08-09	Nouveau Stade Bordeaux	Bordeaux	Reims	1 - 2	1	2	0	0	1	3	1650	1534	116	13.2	14.30713	8.29187
2015-08-09	Stade de Gerland	Lyon	Lorient	0 - 0	0	0	0	1	0	2	1740	1573	167	4.5	8.29199	8.29199
2015-08-14	Stade Louis II	Monaco	Lille	0 - 0	0	0	0	1	0	2	1775	1641	134	3.7	24.1178	3.96143
2015-08-15	Stade Geoffroy-Guichard	St Etienne	Bordeaux	1 - 1	1	1	0	1	0	2	1701	1638	63	1.8	1.24731	1.76233
2015-08-15	Stade Michel-d'Ornano	Caen	Toulouse	1 - 0	1	0	1	0	0	1	1590	1546	44	8.7	20.90369	19.37231
2015-08-15	Roazhon Park	Rennes	Montpellier	1 - 0	1	0	1	0	0	1	1567	1599	32	10.9	1.80884	-9.64355
2015-08-15	Stade Jean-Bouin	Angers	Nantes	0 - 0	0	0	0	1	0	2	1520	1551	31	0.9	26.22754	15.41858
2015-08-15	Stade Municipal de Roudourou	Guingamp	Lyon	0 - 1	0	1	0	0	1	3	1562	1734	172	5.4	1.16541	2.4906
2015-08-15	Stade de l'Aube	Troyes	Nice	3 - 3	3	3	0	1	0	2	1560	1559	1	0	4.29822	3.54089
2015-08-16	Stade Auguste-Delaune	Reims	Marseille	1 - 0	1	0	1	0	0	1	1546	1689	143	13.9	20.83667	-4.3197
2015-08-16	Stade du Moustoir	Lorient	Bastia	1 - 1	1	1	0	1	0	2	1578	1582	4	0.1	14.09338	14.77502
