goal	degree	distance	shot_headed	crosses	corner	pass_throw_in	pass_long_ball	pass_through_ball	pass_headed
0	82.4365	24.31152	0	0	1	0	0	0	0
0	118.70009	20.40711	0	0	1	0	0	0	0
0	153.57748	17.97804	0	0	0	0	0	0	0
0	54.86035	31.7945	0	0	0	0	0	0	0
0	55.71312	7.98812	1	0	1	0	0	0	0
0	146.72511	19.13766	0	0	0	0	0	0	0
0	102.14428	16.16168	1	1	0	0	1	0	0
0	50.19443	14.05845	0	0	0	0	0	0	0
0	51.72913	36.811	0	0	0	0	0	0	0
0	153.07981	21.64555	0	0	0	0	0	1	0
0	70.90651	27.51363	0	0	0	0	0	0	0
0	109.38452	11.44902	0	1	1	0	0	0	0
1	121.02954	14.93754	1	1	1	0	0	0	0
0	129.65082	37.92466	0	0	0	0	0	0	0
0	41.63354	31.30815	0	0	0	0	0	0	0
0	57.40494	31.92883	0	0	0	0	0	0	0
0	127.10128	39.62032	0	0	0	0	0	0	0
0	34.54009	28.04318	0	0	0	0	0	0	0
0	40.71085	17.01823	0	0	0	0	0	0	0
0	140.38931	22.58584	0	0	0	0	0	0	0
0	50.74866	21.17829	0	0	0	0	0	0	0
0	166.45206	17.07513	0	1	1	0	0	0	0
0	19.85521	19.13766	0	0	0	0	0	1	0
0	22.74411	24.83083	0	0	0	0	0	0	0
0	144.72022	30.99193	0	0	0	0	1	0	0
0	45.82139	39.46061	0	0	0	0	0	0	0
0	102.52881	11.98541	0	1	0	0	0	0	0
1	135.60309	6.71789	1	1	0	0	0	0	0
0	85.1148	23.48531	0	0	0	0	0	0	0
1	124.06091	8.5703	0	1	0	0	0	0	0
0	45.94695	34.22864	0	1	0	0	0	0	0
1	110.89082	14.02177	0	0	0	0	0	0	0
0	120.02316	22.98391	0	1	1	0	0	0	0
0	119.01788	30.30413	0	0	0	0	0	0	0
0	144.94057	27.8539	0	1	0	0	0	0	0
0	28.72927	15.39513	1	0	0	0	0	0	0
1	64.11297	15.11688	0	0	0	0	0	0	0
0	30.37913	10.08464	0	1	0	0	0	0	0
0	117.99715	8.94707	1	1	0	0	0	0	0
0	114.37925	29.31382	0	0	0	0	0	0	0
1	164.99868	31.67965	0	0	0	0	1	0	0
0	124.95798	13.78768	0	1	1	0	0	0	0
0	30.07976	23.34374	0	1	1	0	0	0	0
0	38.55047	16.36704	0	1	0	0	0	0	0
0	55.49148	7.7666	1	1	1	0	0	0	0
1	135	11.73797	1	1	0	0	0	0	0
1	110.9245	3.64005	1	1	1	0	0	0	0
0	133.76003	32.67599	0	0	0	0	0	0	0
0	77.6105	31.22723	0	1	0	0	0	0	0
0	35.00343	41.14183	0	1	1	0	0	0	0
0	55.05434	30.37713	0	1	0	0	0	0	0
1	67.31944	7.26154	1	1	1	0	0	0	0
0	119.50801	27.00259	0	0	0	0	0	0	0
0	140.64825	6.46607	0	1	0	0	0	0	0
0	42.24458	13.2382	0	0	0	0	0	0	0
0	37.92108	21.80367	0	0	0	0	0	0	0
0	67.60145	33.8541	0	0	0	0	0	0	0
0	137.976	23.15362	0	0	0	0	0	0	0
0	39.80557	18.7446	1	0	1	0	0	0	0
0	104.96428	22.46175	0	0	0	0	0	0	0
0	125.88864	30.36445	0	0	0	0	0	0	0
0	137.36855	29.08694	0	0	0	0	0	0	0
0	34.18612	12.81405	0	1	0	0	0	0	0
0	85.08974	29.20719	0	0	0	0	0	0	0
0	130.14154	28.38626	0	0	0	0	0	0	0
0	121.31693	36.16974	0	1	1	0	0	0	0
0	60.54794	36.40467	0	0	0	0	0	0	0
0	64.45378	32.69648	0	0	0	0	0	0	0
1	130.00206	18.66789	0	0	0	0	0	0	0
0	33.9537	18.08342	0	1	0	0	0	0	0
0	144.4247	35.40904	0	0	0	0	0	0	0
