goal	start_x	start_y	headed
0	83.6	53.9	0
0	84.9	53	0
0	94.2	49.7	0
1	73.2	47.7	0
0	78.7	60.9	0
1	93.1	54	1
0	79	45.3	0
1	11.1	54.4	0
0	80.7	20.4	0
0	74.8	45.2	0
0	73.1	62.9	0
0	79.2	47.9	0
0	74	46.1	0
0	78.4	56.9	0
0	77.5	53.4	0
0	80.5	38.5	0
0	80.1	52.8	0
0	78.6	47.7	0
1	88.5	50	0
1	88.5	50	0
0	80.8	23.5	0
1	95.4	59	0
0	85.8	26.9	0
0	70.4	45.2	0
0	91.5	57.9	1
1	89.7	53.4	0
0	79.7	50.2	0
0	74.9	54	0
0	81.7	52.5	0
0	70.2	49.4	0
1	90.5	54.4	0
0	77.9	36.9	0
0	86.1	82.9	0
1	90.3	43.5	1
0	81.3	49.9	0
0	71.5	36.3	0
0	66	47.8	0
0	88.6	40.9	0
0	87.6	45.8	1
0	78.1	37.1	0
0	85.2	31	0
0	80.1	78.7	0
0	74.6	45.2	0
0	87.2	37.1	0
0	94.7	48.8	0
0	78.2	67.6	0
0	86.2	29	0
0	73.8	49.9	0
0	80.2	34.8	0
1	88.5	50	0
0	77.4	46.6	0
0	92.6	47.2	1
0	80.9	46	0
0	95	59.6	1
0	87.3	48.8	0
0	81.8	43.7	0
0	72.8	48.8	0
0	76.1	38	0
1	91	28.7	0
0	74.2	53.2	0
0	93.6	46.4	1
0	73.3	43.1	0
0	93.5	41	0
0	88	28.7	0
0	93.1	57.4	1
0	92.6	40.6	1
0	95.2	47.4	1
0	72	65.2	0
0	81.1	65.8	0
0	75.5	78.1	0
0	77.1	32	0
0	71.9	47.2	0
0	88.9	54.2	1
0	86.6	66.4	0
0	84.3	61.8	0
0	86.5	67.8	0
0	92.3	77.3	0
0	72.8	40.1	0
0	76.5	62.3	0
0	72.9	70.2	0
0	94.2	33.2	0
0	76.2	72.1	0
0	77.2	72.3	0
0	93.5	53.6	1
0	72.3	47.2	0
0	95	48.2	1
0	92.5	56.3	0
0	84.5	44.8	0
0	97.1	64.8	0
0	92	41	0
0	88.2	36.4	0
1	89	62.3	0
0	78.4	57.7	0
1	88.5	50	0
0	66.4	25.6	0
0	77.9	68	0
0	72.9	56.6	0
0	90.9	51.3	1
0	91.9	51.5	1
0	73.5	59.9	0
0	70.4	73.6	0
1	88.6	49.9	0
0	91.7	60.5	1
0	95.4	41.2	1
0	76.4	56.9	0
0	76.2	65.8	0
0	86.5	59.6	0
0	72.9	48.1	0
0	95.6	39.7	1
0	74.5	49.4	0
0	92	36.9	1
0	90.9	63.6	1
0	81	49.3	0
0	91.9	44.8	0
0	89.6	57.6	0
0	84.3	73.9	0
0	85	56	0
0	90.8	60.2	1
1	88.5	50	0
0	98.3	62.7	0
0	93.1	63	0
1	90.2	39.4	0
0	90.5	46	0
0	72.2	48.7	0
0	94.8	63.9	0
1	95.9	50.9	0
0	83.3	47.9	0
0	77	61.8	0
0	77.2	50.4	0
0	96	65.8	0
0	72.6	44	0
0	97.6	39.3	1
0	94.6	59.9	1
0	75.5	33.4	0
0	95.5	40.9	0
0	80.3	45.6	0
0	81.4	54	0
0	89	51.7	0
0	85.5	18.8	0
0	94.4	64.5	0
0	89.2	58	0
0	76.6	58.2	0
0	85.7	54	1
0	78.7	67.7	0
0	73.2	76.6	0
0	77.7	73.3	0
0	96	34.2	0
0	69.8	50.3	0
0	69.7	49.4	0
0	67	49.4	0
0	80.6	66.4	0
0	89.8	41.7	0
0	80.3	37.5	0
0	69.5	63.1	0
0	85.2	51.8	1
0	71.8	47.6	0
0	79.5	25.9	0
0	81.6	60.8	0
0	84.2	46.9	0
1	90.5	52	0
0	77	54.8	0
0	71.4	39.8	0
0	84.9	36.6	0
0	73.9	35.9	0
0	88.5	30.7	0
0	79.3	82.9	0
0	74.4	17.8	0
0	88.3	51	0
0	73.9	62.3	0
1	78.3	44.7	0
0	73.6	49.1	0
0	73.8	49.6	0
0	95.9	46.8	0
0	75.6	36.3	0
0	98.8	46.4	0
0	92.5	52.4	0
0	66.4	41.2	0
0	75.1	66.3	0
1	92.9	47.2	0
1	95.2	56.9	1
0	86.7	30.1	0
0	73.5	44.4	0
0	87	58.5	0
0	61.8	71.7	0
0	88.9	45.5	0
1	96.5	49	0
0	93.6	75.6	0
0	54.8	64.2	0
0	75.5	39.9	0
0	80.1	42.1	0
1	90.5	50.7	1
0	91.1	41.5	0
0	95.9	71.3	0
0	79.2	54.6	0
0	77.5	35.5	0
0	71.9	35.7	0
0	96.6	70.1	0
1	90	60.9	0
0	89.8	70.7	0
0	74.5	57.4	0
0	86.8	52.5	0
0	88.5	50	0
0	91.9	57.9	0
1	95.4	53.4	0
0	92	65.2	0
0	84.7	53.3	0
1	89.2	46	0
0	76.5	32.9	0
0	92.4	66.9	0
0	89.8	53.1	1
0	82.8	76.5	0
0	72.1	61.2	0
1	98.9	75.2	0
0	89.9	50.1	1
0	70.8	60.1	0
0	77.2	70.7	0
0	84.5	31.3	0
0	71.8	64.7	0
0	94.9	31.2	1
0	73.1	44.4	0
0	87.8	37.7	1
0	90.7	37.1	0
0	96.1	47.4	1
0	95.4	56.9	1
0	86.4	46.9	0
0	79.5	68.8	0
0	74.1	73.7	0
0	81.2	68.5	0
0	94.7	22.1	0
0	86.5	41.2	0
0	76.4	50.1	0
1	92	59.2	1
0	78.6	52.9	0
1	98.3	50.3	0
0	95.6	65.1	0
0	84.8	30.5	0
1	98.9	53.8	0
1	88.5	50	0
1	88.5	50	0
0	91.9	36.4	0
0	95.4	64.5	0
0	80.5	28.3	0
