abbr,team,euro,fifa_rank,pop,gdp,prev
abbr,team,euro,fifa_rank,pop,gdp,prev
ENG,England,1996,21,48,900,4
ROM,Romania,1996,11,22.7,35,1
FRA,France,1996,8,59.5,1600,3
SPA,Spain,1996,4,39.4,600,4
DEN,Denmark,1996,9,5.2,185,4
SWI,Switzerland,1996,18,7,342,0
TUR,Turkey,1996,30,58.5,169,0
CRO,Croatia,1996,41,4.7,22,0
ITA,Italy,1996,3,56.8,1171,3
CZE,Czech,1996,14,10.3,60,3
POR,Portugal,1996,16,10,118,1
GER,Germany,1996,2,81.7,2591,6
BUL,Bulgaria,1996,17,8.4,13,0
RUS,Russia,1996,5,148.4,396,6
SCO,Scotland,1996,26,5,-1,1
NED,Netherlands,1996,6,15.5,447,4
BEL,Belgium,2000,33,10.2,260,3
NED,Netherland,2000,19,15.8,441,5
ITA,Italy,2000,14,56.9,1249,4
NOR,Norway,2000,7,4.4,162,0
GER,Germany,2000,5,82.1,2199,7
FRA,France,2000,3,60.4,1500,4
SWE,Sweden,2000,16,8.8,270,1
SPA,Spain,2000,4,39.9,633,5
ROM,Romania,2000,8,22.4,36,2
YUG,Yugoslavia,2000,-1,-1,-1,4
CZE,Czech Republic,2000,2,10.2,64,4
POR,Portugal,2000,15,10.2,127,2
DEN,Denmark,2000,11,5.3,177,5
ENG,England,2000,12,48.5,1100,5
SLO,Slovenia,2000,40,1.9,22,0
TUR,Turkey,2000,29,62.2,249,1
BUL,Bulgaria,2004,34,7.8,21,1
CRO,Croatia,2004,20,4.4,34,1
CZE,Czech,2004,6,10.1,99,5
DEN,Denmark,2004,13,5.4,218,6
ENG,England,2004,8,50,1600,6
FRA,France,2004,2,62.7,1848,5
GER,Germany,2004,12,82.5,2505,8
GRE,Greece,2004,30,10.9,202,1
ITA,Italy,2004,10,57.6,1570,5
LAT,Latvia,2004,51,2.2,11.7,0
NED,Netherland,2004,4,16.2,572,6
POR,Portugal,2004,17,10.4,165,3
RUS,Russia,2004,24,144,430,7
SPA,Spain,2004,3,42.9,906,6
SWE,Sweden,2004,19,8.9,331,2
SWI,Switzerland,2004,44,7.3,352,1
AUS,Austria,2008,94,24.2,386,0
CRO,Croatia,2008,10,4.4,60,2
CZE,Czech,2008,6,10.3,188,6
FRA,France,2008,7,64.3,2663,6
GER,Germany,2008,5,82,3439,9
GRE,Greece,2008,11,11,318,2
ITA,Italy,2008,3,58.8,2204,6
NED,Netherland,2008,9,16.4,839,7
POL,Poland,2008,22,38,428,0
POR,Portugal,2008,8,10.5,240,4
ROM,Romania,2008,13,20.5,171,3
RUS,Russia,2008,23,142.7,1299,8
SPA,Spain,2008,4,45.6,1479,7
SWE,Sweden,2008,24,9,488,3
SWI,Switzerland,2008,44,7.6,477,2
TUR,Turkey,2008,16,70,647,2
CRO,Croatia,2012,8,4.2,62.2,3
CZE,Czech,2012,33,10.4,227.3,7
DEN,Denmark,2012,11,5.5,341.4,7
ENG,England,2012,5,53,1700,7
FRA,France,2012,15,65.3,2862.5,7
GER,Germany,2012,3,81.7,3757.4,10
GRE,Greece,2012,14,11.1,287.7,3
IRE,Ireland,2012,22,4.5,241.7,1
ITA,Italy,2012,9,59.3,2278,7
NED,Netherland,2012,2,16.6,893.7,8
POL,Poland,2012,66,38,528.7,1
POR,Portugal,2012,7,10.5,244.8,5
RUS,Russia,2012,12,142.9,1904.7,9
SPA,Spain,2012,1,46.7,1487.9,8
SWE,Sweden,2012,18,9.4,563.1,4
UKR,Ukraine,2012,55,45.7,163.1,0
ALB,Albania,2016,38,2.8,13.2,0
AUS,Austria,2016,10,8.5,436.8,1
BEL,Belgium,2016,1,11.2,531.5,4
CRO,Croatia,2016,18,4.2,57.1,4
CZE,Czech,2016,26,10.5,205.2,5
ENG,England,2016,9,54,2000,8
FRA,France,2016,25,66.2,2829.2,8
GER,Germany,2016,4,80.9,3868.2,11
HUN,Hungary,2016,20,9.8,138.3,2
ICE,Iceland,2016,36,0.3,17,0
ITA,Italy,2016,15,60.7,2141.1,8
NIR,Northern Ireland,2016,30,1.8,-1,0
POL,Poland,2016,34,38,544.9,2
POR,Portugal,2016,7,10.4,230,6
IRE,Ireland,2016,31,4.6,250.8,2
ROM,Romania,2016,16,19.9,199,4
RUS,Russia,2016,24,143.8,1860.6,4
SLK,Slovakia,2016,26,5.4,100.2,0
SPA,Spain,2016,3,46.4,1381.3,9
SWE,Sweden,2016,35,9.6,571,5
SWI,Switzerland,2016,12,8.1,701,3
TUR,Turkey,2016,21,75.9,798.4,1
UKR,Ukraine,2016,29,45.3,131.8,0
WAL,Wales,2016,17,3,-1,
