2017-02-26 21:20:54,938 - INFO    - START
project/nn_xval.py:47: RuntimeWarning: invalid value encountered in absolute
  acc = np.abs(np.mean(y_test - y_test_predict))

2017-02-26 21:20:55,942 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:20:56,725 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:20:57,491 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:20:58,356 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:20:59,673 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:00,608 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:03,251 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:05,965 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:08,720 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:11,534 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:14,195 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:16,900 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:21,833 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:27,075 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:32,082 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:37,162 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:42,113 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:21:48,605 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:22:01,067 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:22:13,459 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:22:26,031 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:22:38,522 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:22:51,002 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:23:03,776 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:23:29,930 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:23:53,172 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 0.1 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:24:16,760 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 0.01 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:24:40,266 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 0.001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:05,079 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 0.0001 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:29,579 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 1e-05 -> nan (445.0 goals/nan expg | nan expg/goals)
2017-02-26 21:25:30,765 - INFO    - Total accuracy for hidden_size: 2, alpha: 0.1, itera: 100, reg_lambda: 1 -> nan (445.0 goals/nan expg | nan expg/goals)
