2017-01-15 19:03:56,604 - INFO    - START
/home/dam/www/saf/script/expg_nn/project/nn/regularization_5.py:106: RuntimeWarning: overflow encountered in exp
  return 1/(1+np.exp(-values))
2017-01-15 19:04:00,494 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 1 -> 0.0237233392598 (445.0 goals/334.1 expg)
2017-01-15 19:04:04,335 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.1 -> 0.0316608849538 (445.0 goals/489.799575204 expg)
2017-01-15 19:04:08,413 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.01 -> 0.0745026200278 (445.0 goals/96.7509353196 expg)
2017-01-15 19:04:12,257 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.001 -> 0.0740096823216 (445.0 goals/99.0544518179 expg)
2017-01-15 19:04:17,187 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 0.0001 -> 0.0808754551278 (445.0 goals/66.9557465835 expg)
2017-01-15 19:04:21,620 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 100, reg_lambda: 1e-05 -> 0.0819730567778 (445.0 goals/61.8279807215 expg)
2017-01-15 19:04:36,164 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 1 -> 0.0267425809862 (445.0 goals/320.0 expg)
2017-01-15 19:04:50,768 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.1 -> 0.0316823707894 (445.0 goals/489.9 expg)
2017-01-15 19:05:06,766 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.01 -> 0.0737664240235 (445.0 goals/100.192482506 expg)
2017-01-15 19:05:23,002 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.001 -> 0.0744974246836 (445.0 goals/96.7759917921 expg)
2017-01-15 19:05:39,917 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 0.0001 -> 0.0861435506467 (445.0 goals/42.3311241012 expg)
2017-01-15 19:05:56,092 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 500, reg_lambda: 1e-05 -> 0.082755209938 (445.0 goals/58.1724243928 expg)
2017-01-15 19:06:25,969 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 1 -> 0.0267425809862 (445.0 goals/320.0 expg)
2017-01-15 19:06:54,460 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.1 -> 0.0316823707894 (445.0 goals/489.9 expg)
2017-01-15 19:07:25,582 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.01 -> 0.0737648157174 (445.0 goals/100.2 expg)
2017-01-15 19:08:03,914 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.001 -> 0.073911964965 (445.0 goals/99.5109124339 expg)
2017-01-15 19:08:51,895 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 0.0001 -> 0.0806052181293 (445.0 goals/68.2203817189 expg)
2017-01-15 19:09:30,642 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 1000, reg_lambda: 1e-05 -> 0.0780037552881 (445.0 goals/80.3807849854 expg)
/home/dam/www/saf/script/expg_nn/project/nn/regularization_5.py:64: RuntimeWarning: overflow encountered in add
  self.s2_weights += self.alpha * dW2
project/nn_5_train.py:46: RuntimeWarning: invalid value encountered in absolute
  acc = np.abs(np.mean(y_test - y_test_predict))
2017-01-15 19:10:24,908 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 1 -> nan (445.0 goals/nan expg)
2017-01-15 19:11:24,784 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.1 -> 0.0316823707894 (445.0 goals/489.9 expg)
2017-01-15 19:12:26,324 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.01 -> 0.0737648157174 (445.0 goals/100.2 expg)
2017-01-15 19:13:34,353 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.001 -> 0.0787679820195 (445.0 goals/76.81040162 expg)
2017-01-15 19:14:45,006 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 0.0001 -> 0.0827230577561 (445.0 goals/58.322118577 expg)
2017-01-15 19:15:37,118 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 2000, reg_lambda: 1e-05 -> 0.0813437898899 (445.0 goals/64.7660236906 expg)
2017-01-15 19:16:55,644 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 1 -> nan (445.0 goals/nan expg)
2017-01-15 19:18:28,104 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 0.1 -> 0.0316823707894 (445.0 goals/489.9 expg)
2017-01-15 19:20:00,480 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 0.01 -> 0.0737648157174 (445.0 goals/100.2 expg)
2017-01-15 19:22:39,675 - INFO    - Total accuracy for hidden_size: 2, alpha: 1, itera: 4000, reg_lambda: 0.001 -> 0.0770399862322 (445.0 goals/84.8914906307 expg)
