"start","day","name","home_avg","away_avg"
1933,1,"SC Fives",3,1
1933,1,"SC Fives",3,2
1933,3,"CA Paris",1.5,0
1933,3,"CA Paris",1.5,0
1933,4,"FC Sète 34",3,2
1933,4,"OGC Nice",2,0
1933,4,"OGC Nice",2,0
1933,4,"FC Sochaux-Montbéliard",1.5,0.5
1933,4,"AS Cannes",2,0
1933,4,"AS Cannes",2,1.5
1933,4,"FC Sochaux-Montbéliard",1.5,0.5
1933,4,"Stade Rennais FC",3,1.5
1933,4,"FC Sète 34",3,1.5
1933,5,"FC Sète 34",3,2
1933,5,"FC Sète 34",3,1.5
1933,7,"AS Cannes",1,0
1933,7,"AS Cannes",1,1.5
1933,9,"OGC Nice",1.5,0
1933,9,"OGC Nice",1.5,0
1933,11,"FC Sochaux-Montbéliard",3,0.5
1933,11,"FC Sochaux-Montbéliard",3,0.5
1933,13,"Stade Rennais FC",2,1.5
1933,13,"Olympique Lillois",3,0.5
1933,13,"RC Paris",1.5,0
1933,14,"Olympique Lillois",2,0.5
1933,16,"RC Paris",0.5,0
1933,17,"FC Antibes",3,0
1933,17,"SC Nîmois",1.5,0
1933,17,"EAC Roubaix",2,0
1933,17,"EAC Roubaix",2,0
1933,17,"SO Montpellier",3,0
1933,17,"SO Montpellier",3,0.5
1933,17,"Olympique de Marseille",3,1.5
1933,17,"Olympique de Marseille",3,1.5
1933,17,"SC Nîmois",1.5,0
1933,17,"FC Antibes",3,0
1933,18,"SO Montpellier",1.5,0.5
1933,18,"SO Montpellier",1.5,0
1933,20,"FC Antibes",2,0
1933,20,"FC Antibes",2,0
1933,22,"EAC Roubaix",1.5,0
1933,22,"EAC Roubaix",1.5,0
1933,24,"Olympique de Marseille",1.5,1.5
1933,24,"Olympique de Marseille",1.5,1.5
1934,1,"Olympique Lillois",2,1.5
1934,1,"Olympique d'Alès",1.5,0.5
1934,1,"Olympique d'Alès",1.5,0
1934,1,"SO Montpellier",2,1.5
1934,1,"SO Montpellier",2,0
1934,1,"FC Mulhouse",1.5,3
1934,1,"FC Mulhouse",1.5,1.5
1934,1,"FC Sochaux-Montbéliard",1.5,3
1934,1,"FC Sochaux-Montbéliard",1.5,2
1934,1,"FC Sochaux-Montbéliard",1.5,3
1934,1,"FC Sochaux-Montbéliard",1.5,3
1934,1,"FC Sochaux-Montbéliard",1.5,2
1934,1,"FC Sochaux-Montbéliard",1.5,3
1934,1,"SO Montpellier",2,0
1934,1,"Olympique d'Alès",1.5,0
1934,1,"Olympique d'Alès",1.5,1.5
1934,1,"Olympique d'Alès",1.5,1.5
1934,1,"Olympique d'Alès",1.5,0
1934,1,"SO Montpellier",2,0
1934,1,"FC Mulhouse",1.5,0
1934,1,"FC Mulhouse",1.5,0
1934,1,"Olympique Lillois",2,2
1934,1,"Olympique Lillois",2,0
1934,1,"Olympique Lillois",2,0
1934,1,"RC Strasbourg",2,3
1934,1,"RC Strasbourg",2,0.5
1934,1,"RC Strasbourg",2,1.5
1934,1,"RC Strasbourg",2,2
1934,1,"RC Strasbourg",2,3
1934,1,"RC Strasbourg",2,0.5
1934,1,"FC Antibes",0.5,0.5
1934,1,"FC Antibes",0.5,0
1934,1,"FC Antibes",0.5,1.5
1934,1,"FC Antibes",0.5,0
1934,1,"FC Antibes",0.5,0
1934,1,"FC Antibes",0.5,1.5
1934,2,"RC Paris",3,1.5
1934,2,"RC Paris",3,0
1934,2,"RC Paris",3,3
1934,2,"RC Paris",3,0
1934,2,"RC Paris",3,0
1934,2,"RC Paris",3,1.5
1934,3,"EAC Roubaix",1.5,3
1934,3,"EAC Roubaix",1.5,3
1934,3,"EAC Roubaix",1.5,1.5
1934,3,"EAC Roubaix",1.5,0.5
1934,3,"Stade Rennais FC",1.5,0
1934,3,"Stade Rennais FC",1.5,0
1934,3,"Stade Rennais FC",1.5,0
1934,3,"Stade Rennais FC",1.5,0
1934,3,"Stade Rennais FC",1.5,1
1934,3,"Stade Rennais FC",1.5,0
1934,3,"FC Sète 34",1,3
1934,3,"FC Sète 34",1,0
1934,3,"SC Fives",1.5,0
1934,3,"SC Fives",1.5,3
1934,3,"RC Paris",1.5,3
