start;day;home;away;first_t1;first_t2;second_t1;second_t2;t1_rank;t2_rank;result_first_t1;result_first_t2;result_second_t1;result_second_t2;result_projection_second_t1;result_projection_second_t2
2002;1;RC Strasbourg;AC Ajaccio;1;1;0;0;12;18;1;1;1;1;1;1.67
2002;1;CS Sedan;FC Sochaux-Montbéliard;0;0;1;2;14;7;1;1;0;3;1;1.67
2002;1;Montpellier Hérault SC;Stade Rennais FC;1;0;1;3;20;16;3;0;0;3;1.14;1.16
2002;1;Olympique de Marseille;FC Nantes;0;2;0;1;1;9;0;3;0;3;0.9;1.81
2002;1;ESTAC Troyes;AS Monaco FC;0;4;0;6;19;3;0;3;0;3;0.9;1.81
2002;1;EA Guingamp;Olympique Lyonnais;3;3;4;1;6;4;1;1;3;0;1;1.67
2002;1;SC Bastia;RC Lens;1;1;0;2;15;8;1;1;0;3;1;1.67
2002;1;OGC Nice;Havre AC;1;2;1;2;2;17;0;3;0;3;0.9;1.81
2002;1;LOSC Lille;Girondins de Bordeaux;0;3;0;2;13;11;0;3;0;3;0.9;1.81
2002;1;Paris Saint-Germain;AJ Auxerre;1;0;0;2;10;5;3;0;0;3;1.14;1.16
2002;2;Girondins de Bordeaux;Paris Saint-Germain;0;0;1;1;11;10;1;1;1;1;1;1.67
2002;2;AJ Auxerre;Montpellier Hérault SC;2;0;0;0;5;20;3;0;1;1;1.14;1.16
2002;2;Stade Rennais FC;ESTAC Troyes;0;0;1;0;16;19;1;1;3;0;1;1.67
2002;2;OGC Nice;RC Strasbourg;4;0;0;0;2;12;3;0;1;1;1.14;1.16
2002;2;Olympique Lyonnais;CS Sedan;6;1;1;1;4;14;3;0;1;1;1.14;1.16
2002;2;AS Monaco FC;Olympique de Marseille;0;1;1;1;3;1;0;3;1;1;0.9;1.81
2002;2;Havre AC;LOSC Lille;0;0;0;1;17;13;1;1;0;3;1;1.67
2002;2;AC Ajaccio;EA Guingamp;0;2;1;3;18;6;0;3;0;3;0.9;1.81
2002;2;FC Nantes;SC Bastia;1;0;1;3;9;15;3;0;0;3;1.14;1.16
2002;2;RC Lens;FC Sochaux-Montbéliard;1;1;0;3;8;7;1;1;0;3;1;1.67
2002;3;CS Sedan;RC Lens;0;1;0;4;14;8;0;3;0;3;0.9;1.81
2002;3;FC Sochaux-Montbéliard;FC Nantes;4;2;1;0;7;9;3;0;3;0;1.14;1.16
2002;3;Olympique de Marseille;Olympique Lyonnais;1;1;0;1;1;4;1;1;0;3;1;1.67
2002;3;EA Guingamp;Stade Rennais FC;3;0;1;2;6;16;3;0;0;3;1.14;1.16
2002;3;Paris Saint-Germain;AC Ajaccio;2;2;0;0;10;18;1;1;1;1;1;1.67
2002;3;ESTAC Troyes;AJ Auxerre;1;2;0;1;19;5;0;3;0;3;0.9;1.81
2002;3;Montpellier Hérault SC;Girondins de Bordeaux;0;1;1;3;20;11;0;3;0;3;0.9;1.81
2002;3;LOSC Lille;OGC Nice;0;3;0;2;13;2;0;3;0;3;0.9;1.81
2002;3;SC Bastia;AS Monaco FC;1;0;0;0;15;3;3;0;1;1;1.14;1.16
2002;3;RC Strasbourg;Havre AC;1;1;1;1;12;17;1;1;1;1;1;1.67
2002;4;OGC Nice;Montpellier Hérault SC;2;1;2;2;2;20;3;0;1;1;1.14;1.16
2002;4;Stade Rennais FC;Olympique de Marseille;1;3;0;2;16;1;0;3;0;3;0.9;1.81
2002;4;AS Monaco FC;FC Sochaux-Montbéliard;1;0;0;0;3;7;3;0;1;1;1.14;1.16
2002;4;Olympique Lyonnais;SC Bastia;4;1;0;2;4;15;3;0;0;3;1.14;1.16
2002;4;AJ Auxerre;EA Guingamp;2;1;2;0;5;6;3;0;3;0;1.14;1.16
2002;4;Havre AC;Paris Saint-Germain;0;1;0;1;17;10;0;3;0;3;0.9;1.81
2002;4;AC Ajaccio;CS Sedan;1;0;1;1;18;14;3;0;1;1;1.14;1.16
2002;4;LOSC Lille;ESTAC Troyes;0;0;0;2;13;19;1;1;0;3;1;1.67
2002;4;FC Nantes;RC Lens;2;2;1;0;9;8;1;1;3;0;1;1.67
2002;4;Girondins de Bordeaux;RC Strasbourg;1;2;1;1;11;12;0;3;1;1;0.9;1.81
2002;5;SC Bastia;Stade Rennais FC;3;1;1;0;15;16;3;0;3;0;1.14;1.16
2002;5;Olympique de Marseille;AJ Auxerre;0;0;0;0;1;5;1;1;1;1;1;1.67
2002;5;FC Sochaux-Montbéliard;Olympique Lyonnais;2;1;1;4;7;4;3;0;0;3;1.14;1.16
2002;5;ESTAC Troyes;AC Ajaccio;1;0;0;1;19;18;3;0;0;3;1.14;1.16
2002;5;EA Guingamp;Girondins de Bordeaux;0;0;2;4;6;11;1;1;0;3;1;1.67
2002;5;Montpellier Hérault SC;Havre AC;0;0;0;1;20;17;1;1;0;3;1;1.67
2002;5;RC Strasbourg;LOSC Lille;2;2;1;0;12;13;1;1;3;0;1;1.67
2002;5;Paris Saint-Germain;OGC Nice;1;1;0;0;10;2;1;1;1;1;1;1.67
2002;5;RC Lens;AS Monaco FC;1;0;1;1;8;3;3;0;1;1;1.14;1.16
2002;5;CS Sedan;FC Nantes;1;0;1;4;14;9;3;0;0;3;1.14;1.16
2002;6;Stade Rennais FC;FC Sochaux-Montbéliard;2;2;0;1;16;7;1;1;0;3;1;1.67
2002;6;OGC Nice;Olympique de Marseille;2;0;0;2;2;1;3;0;0;3;1.14;1.16
2002;6;AS Monaco FC;FC Nantes;2;1;2;0;3;9;3;0;3;0;1.14;1.16
2002;6;AJ Auxerre;SC Bastia;1;0;0;2;5;15;3;0;0;3;1.14;1.16
2002;6;Havre AC;EA Guingamp;1;2;2;1;17;6;0;3;3;0;0.9;1.81
2002;6;Olympique Lyonnais;RC Lens;1;0;2;2;4;8;3;0;1;1;1.14;1.16
2002;6;AC Ajaccio;Montpellier Hérault SC;0;0;1;0;18;20;1;1;3;0;1;1.67
2002;6;LOSC Lille;Paris Saint-Germain;2;1;0;1;13;10;3;0;0;3;1.14;1.16
