start;name;final_rank;day;day_rank
2003;Olympique Lyonnais;1;1;17
2003;Olympique Lyonnais;1;2;9
2003;Olympique Lyonnais;1;3;4
2003;Olympique Lyonnais;1;4;6
2003;Olympique Lyonnais;1;5;8
2003;Olympique Lyonnais;1;6;11
2003;Olympique Lyonnais;1;7;7
2003;Olympique Lyonnais;1;8;3
2003;Olympique Lyonnais;1;9;3
2003;Olympique Lyonnais;1;10;5
2003;Olympique Lyonnais;1;11;3
2003;Olympique Lyonnais;1;12;2
2003;Olympique Lyonnais;1;13;2
2003;Olympique Lyonnais;1;14;2
2003;Olympique Lyonnais;1;15;2
2003;Olympique Lyonnais;1;16;2
2003;Olympique Lyonnais;1;17;2
2003;Olympique Lyonnais;1;18;2
2003;Olympique Lyonnais;1;19;2
2003;Olympique Lyonnais;1;20;2
2003;Olympique Lyonnais;1;21;2
2003;Olympique Lyonnais;1;22;2
2003;Olympique Lyonnais;1;23;3
2003;Olympique Lyonnais;1;24;2
2003;Olympique Lyonnais;1;25;2
2003;Olympique Lyonnais;1;26;2
2003;Olympique Lyonnais;1;27;2
2003;Olympique Lyonnais;1;28;2
2003;Olympique Lyonnais;1;29;1
2003;Olympique Lyonnais;1;30;1
2003;Olympique Lyonnais;1;31;2
2003;Olympique Lyonnais;1;32;1
2003;Olympique Lyonnais;1;33;1
2003;Olympique Lyonnais;1;34;1
2003;Olympique Lyonnais;1;35;1
2003;Olympique Lyonnais;1;36;1
2003;Olympique Lyonnais;1;37;1
2003;Olympique Lyonnais;1;38;1
2003;Paris Saint-Germain;2;1;11
2003;Paris Saint-Germain;2;2;14
2003;Paris Saint-Germain;2;3;11
2003;Paris Saint-Germain;2;4;13
2003;Paris Saint-Germain;2;5;17
2003;Paris Saint-Germain;2;6;14
2003;Paris Saint-Germain;2;7;11
2003;Paris Saint-Germain;2;8;8
2003;Paris Saint-Germain;2;9;5
2003;Paris Saint-Germain;2;10;3
2003;Paris Saint-Germain;2;11;4
2003;Paris Saint-Germain;2;12;4
2003;Paris Saint-Germain;2;13;4
2003;Paris Saint-Germain;2;14;4
2003;Paris Saint-Germain;2;15;4
2003;Paris Saint-Germain;2;16;4
2003;Paris Saint-Germain;2;17;4
2003;Paris Saint-Germain;2;18;4
2003;Paris Saint-Germain;2;19;4
2003;Paris Saint-Germain;2;20;4
2003;Paris Saint-Germain;2;21;3
2003;Paris Saint-Germain;2;22;5
2003;Paris Saint-Germain;2;23;4
2003;Paris Saint-Germain;2;24;3
2003;Paris Saint-Germain;2;25;3
2003;Paris Saint-Germain;2;26;3
2003;Paris Saint-Germain;2;27;3
2003;Paris Saint-Germain;2;28;3
2003;Paris Saint-Germain;2;29;3
2003;Paris Saint-Germain;2;30;3
2003;Paris Saint-Germain;2;31;3
2003;Paris Saint-Germain;2;32;3
2003;Paris Saint-Germain;2;33;2
2003;Paris Saint-Germain;2;34;3
2003;Paris Saint-Germain;2;35;3
2003;Paris Saint-Germain;2;36;3
2003;Paris Saint-Germain;2;37;2
2003;Paris Saint-Germain;2;38;2
2003;AS Monaco FC;3;1;1
2003;AS Monaco FC;3;2;11
2003;AS Monaco FC;3;3;5
2003;AS Monaco FC;3;4;2
2003;AS Monaco FC;3;5;1
2003;AS Monaco FC;3;6;2
2003;AS Monaco FC;3;7;1
2003;AS Monaco FC;3;8;1
2003;AS Monaco FC;3;9;1
2003;AS Monaco FC;3;10;1
2003;AS Monaco FC;3;11;1
2003;AS Monaco FC;3;12;1
2003;AS Monaco FC;3;13;1
2003;AS Monaco FC;3;14;1
2003;AS Monaco FC;3;15;1
2003;AS Monaco FC;3;16;1
2003;AS Monaco FC;3;17;1
2003;AS Monaco FC;3;18;1
2003;AS Monaco FC;3;19;1
2003;AS Monaco FC;3;20;1
2003;AS Monaco FC;3;21;1
2003;AS Monaco FC;3;22;1
2003;AS Monaco FC;3;23;1
2003;AS Monaco FC;3;24;1
2003;AS Monaco FC;3;25;1
2003;AS Monaco FC;3;26;1
2003;AS Monaco FC;3;27;1
2003;AS Monaco FC;3;28;1
2003;AS Monaco FC;3;29;2
2003;AS Monaco FC;3;30;2
2003;AS Monaco FC;3;31;1
2003;AS Monaco FC;3;32;2
2003;AS Monaco FC;3;33;3
2003;AS Monaco FC;3;34;2
2003;AS Monaco FC;3;35;2
2003;AS Monaco FC;3;36;2
2003;AS Monaco FC;3;37;3
2003;AS Monaco FC;3;38;3
2003;AJ Auxerre;4;1;16
2003;AJ Auxerre;4;2;18
2003;AJ Auxerre;4;3;15
2003;AJ Auxerre;4;4;17
2003;AJ Auxerre;4;5;15
2003;AJ Auxerre;4;6;16
2003;AJ Auxerre;4;7;9
2003;AJ Auxerre;4;8;13
2003;AJ Auxerre;4;9;8
2003;AJ Auxerre;4;10;9
2003;AJ Auxerre;4;11;12
2003;AJ Auxerre;4;12;11
2003;AJ Auxerre;4;13;7
2003;AJ Auxerre;4;14;6
2003;AJ Auxerre;4;15;7
2003;AJ Auxerre;4;16;7
2003;AJ Auxerre;4;17;5
2003;AJ Auxerre;4;18;5
2003;AJ Auxerre;4;19;6
2003;AJ Auxerre;4;20;5
2003;AJ Auxerre;4;21;4
2003;AJ Auxerre;4;22;3
2003;AJ Auxerre;4;23;2
2003;AJ Auxerre;4;24;4
2003;AJ Auxerre;4;25;4
2003;AJ Auxerre;4;26;5
2003;AJ Auxerre;4;27;5
2003;AJ Auxerre;4;28;5
2003;AJ Auxerre;4;29;5
2003;AJ Auxerre;4;30;5
2003;AJ Auxerre;4;31;5
2003;AJ Auxerre;4;32;5
2003;AJ Auxerre;4;33;4
2003;AJ Auxerre;4;34;5
2003;AJ Auxerre;4;35;5
2003;AJ Auxerre;4;36;4
2003;AJ Auxerre;4;37;4
2003;AJ Auxerre;4;38;4
2003;FC Sochaux-Montbéliard;5;1;3
2003;FC Sochaux-Montbéliard;5;2;12
2003;FC Sochaux-Montbéliard;5;3;10
2003;FC Sochaux-Montbéliard;5;4;14
2003;FC Sochaux-Montbéliard;5;5;11
2003;FC Sochaux-Montbéliard;5;6;7
2003;FC Sochaux-Montbéliard;5;7;4
2003;FC Sochaux-Montbéliard;5;8;7
2003;FC Sochaux-Montbéliard;5;9;9
2003;FC Sochaux-Montbéliard;5;10;10
2003;FC Sochaux-Montbéliard;5;11;10
2003;FC Sochaux-Montbéliard;5;12;9
2003;FC Sochaux-Montbéliard;5;13;6
2003;FC Sochaux-Montbéliard;5;14;5
2003;FC Sochaux-Montbéliard;5;15;5
2003;FC Sochaux-Montbéliard;5;16;3
2003;FC Sochaux-Montbéliard;5;17;3
2003;FC Sochaux-Montbéliard;5;18;3
2003;FC Sochaux-Montbéliard;5;19;3
2003;FC Sochaux-Montbéliard;5;20;3
2003;FC Sochaux-Montbéliard;5;21;5
2003;FC Sochaux-Montbéliard;5;22;4
2003;FC Sochaux-Montbéliard;5;23;5
2003;FC Sochaux-Montbéliard;5;24;5
2003;FC Sochaux-Montbéliard;5;25;5
2003;FC Sochaux-Montbéliard;5;26;4
2003;FC Sochaux-Montbéliard;5;27;4
2003;FC Sochaux-Montbéliard;5;28;4
2003;FC Sochaux-Montbéliard;5;29;4
2003;FC Sochaux-Montbéliard;5;30;4
2003;FC Sochaux-Montbéliard;5;31;4
2003;FC Sochaux-Montbéliard;5;32;4
2003;FC Sochaux-Montbéliard;5;33;5
2003;FC Sochaux-Montbéliard;5;34;4
2003;FC Sochaux-Montbéliard;5;35;4
2003;FC Sochaux-Montbéliard;5;36;5
2003;FC Sochaux-Montbéliard;5;37;5
2003;FC Sochaux-Montbéliard;5;38;5
2003;FC Nantes;6;1;15
2003;FC Nantes;6;2;8
2003;FC Nantes;6;3;3
2003;FC Nantes;6;4;3
2003;FC Nantes;6;5;4
2003;FC Nantes;6;6;6
2003;FC Nantes;6;7;5
2003;FC Nantes;6;8;5
2003;FC Nantes;6;9;4
2003;FC Nantes;6;10;4
2003;FC Nantes;6;11;5
2003;FC Nantes;6;12;5
2003;FC Nantes;6;13;10
2003;FC Nantes;6;14;7
2003;FC Nantes;6;15;8
2003;FC Nantes;6;16;9
2003;FC Nantes;6;17;10
2003;FC Nantes;6;18;9
2003;FC Nantes;6;19;9
2003;FC Nantes;6;20;10
2003;FC Nantes;6;21;8
2003;FC Nantes;6;22;7
2003;FC Nantes;6;23;9
2003;FC Nantes;6;24;7
2003;FC Nantes;6;25;7
2003;FC Nantes;6;26;7
2003;FC Nantes;6;27;7
2003;FC Nantes;6;28;7
2003;FC Nantes;6;29;8
2003;FC Nantes;6;30;7
2003;FC Nantes;6;31;7
2003;FC Nantes;6;32;7
2003;FC Nantes;6;33;7
2003;FC Nantes;6;34;6
2003;FC Nantes;6;35;6
2003;FC Nantes;6;36;6
2003;FC Nantes;6;37;6
2003;FC Nantes;6;38;6
2003;Olympique de Marseille;7;1;5
2003;Olympique de Marseille;7;2;2
2003;Olympique de Marseille;7;3;6
2003;Olympique de Marseille;7;4;4
2003;Olympique de Marseille;7;5;2
2003;Olympique de Marseille;7;6;1
2003;Olympique de Marseille;7;7;2
2003;Olympique de Marseille;7;8;2
2003;Olympique de Marseille;7;9;2
2003;Olympique de Marseille;7;10;2
2003;Olympique de Marseille;7;11;2
2003;Olympique de Marseille;7;12;3
2003;Olympique de Marseille;7;13;3
2003;Olympique de Marseille;7;14;3
2003;Olympique de Marseille;7;15;3
2003;Olympique de Marseille;7;16;5
2003;Olympique de Marseille;7;17;6
2003;Olympique de Marseille;7;18;6
2003;Olympique de Marseille;7;19;5
2003;Olympique de Marseille;7;20;6
2003;Olympique de Marseille;7;21;6
2003;Olympique de Marseille;7;22;6
2003;Olympique de Marseille;7;23;6
2003;Olympique de Marseille;7;24;6
2003;Olympique de Marseille;7;25;6
2003;Olympique de Marseille;7;26;6
2003;Olympique de Marseille;7;27;6
2003;Olympique de Marseille;7;28;6
2003;Olympique de Marseille;7;29;6
2003;Olympique de Marseille;7;30;6
2003;Olympique de Marseille;7;31;6
2003;Olympique de Marseille;7;32;6
2003;Olympique de Marseille;7;33;6
2003;Olympique de Marseille;7;34;7
2003;Olympique de Marseille;7;35;7
2003;Olympique de Marseille;7;36;7
2003;Olympique de Marseille;7;37;7
2003;Olympique de Marseille;7;38;7
2003;RC Lens;8;1;13
2003;RC Lens;8;2;17
2003;RC Lens;8;3;12
2003;RC Lens;8;4;8
2003;RC Lens;8;5;5
2003;RC Lens;8;6;9
2003;RC Lens;8;7;6
2003;RC Lens;8;8;10
2003;RC Lens;8;9;11
2003;RC Lens;8;10;13
2003;RC Lens;8;11;9
2003;RC Lens;8;12;6
2003;RC Lens;8;13;5
2003;RC Lens;8;14;8
2003;RC Lens;8;15;6
2003;RC Lens;8;16;6
2003;RC Lens;8;17;7
2003;RC Lens;8;18;7
2003;RC Lens;8;19;8
2003;RC Lens;8;20;9
2003;RC Lens;8;21;10
2003;RC Lens;8;22;10
2003;RC Lens;8;23;10
2003;RC Lens;8;24;10
2003;RC Lens;8;25;10
2003;RC Lens;8;26;10
2003;RC Lens;8;27;10
2003;RC Lens;8;28;9
2003;RC Lens;8;29;9
2003;RC Lens;8;30;8
2003;RC Lens;8;31;8
2003;RC Lens;8;32;8
2003;RC Lens;8;33;9
2003;RC Lens;8;34;9
2003;RC Lens;8;35;8
2003;RC Lens;8;36;9
2003;RC Lens;8;37;8
2003;RC Lens;8;38;8
2003;Stade Rennais FC;9;1;9
2003;Stade Rennais FC;9;2;6
2003;Stade Rennais FC;9;3;8
2003;Stade Rennais FC;9;4;10
2003;Stade Rennais FC;9;5;14
2003;Stade Rennais FC;9;6;10
2003;Stade Rennais FC;9;7;14
2003;Stade Rennais FC;9;8;11
2003;Stade Rennais FC;9;9;12
2003;Stade Rennais FC;9;10;11
2003;Stade Rennais FC;9;11;14
2003;Stade Rennais FC;9;12;15
2003;Stade Rennais FC;9;13;14
2003;Stade Rennais FC;9;14;14
2003;Stade Rennais FC;9;15;14
2003;Stade Rennais FC;9;16;14
2003;Stade Rennais FC;9;17;14
2003;Stade Rennais FC;9;18;14
2003;Stade Rennais FC;9;19;12
2003;Stade Rennais FC;9;20;12
2003;Stade Rennais FC;9;21;11
2003;Stade Rennais FC;9;22;11
2003;Stade Rennais FC;9;23;11
2003;Stade Rennais FC;9;24;13
2003;Stade Rennais FC;9;25;11
2003;Stade Rennais FC;9;26;12
2003;Stade Rennais FC;9;27;12
2003;Stade Rennais FC;9;28;12
2003;Stade Rennais FC;9;29;12
2003;Stade Rennais FC;9;30;12
2003;Stade Rennais FC;9;31;12
2003;Stade Rennais FC;9;32;12
2003;Stade Rennais FC;9;33;12
2003;Stade Rennais FC;9;34;10
2003;Stade Rennais FC;9;35;11
2003;Stade Rennais FC;9;36;11
2003;Stade Rennais FC;9;37;11
2003;Stade Rennais FC;9;38;9
