"season_n","season_np1","name","n_win","n_draw","an_lose","np1_win","np1_draw","np1_lose"
1933,1934,"AS Cannes",9,7,10,14,5,11
1933,1934,"EAC Roubaix",13,4,9,13,5,12
1933,1934,"FC Antibes",11,5,10,8,7,15
1933,1934,"FC Sète 34",14,6,6,13,10,7
1933,1934,"FC Sochaux-Montbéliard",9,4,13,22,4,4
1933,1934,"Olympique de Marseille",15,3,8,13,5,12
1933,1934,"Olympique Lillois",14,4,8,14,3,13
1933,1934,"RC Paris",9,5,12,16,5,9
1933,1934,"SC Fives",13,7,6,12,1,17
1933,1934,"SC Nîmois",11,3,12,5,5,20
1933,1934,"SO Montpellier",10,6,10,7,3,20
1933,1934,"Stade Rennais FC",11,5,10,11,5,14
1934,1935,"AS Cannes",14,5,11,15,5,10
1934,1935,"AS Red Star 93",8,7,15,8,3,19
1934,1935,"EAC Roubaix",13,5,12,13,5,12
1934,1935,"FC Antibes",8,7,15,10,5,15
1934,1935,"FC Mulhouse",14,5,11,8,6,16
1934,1935,"FC Sète 34",13,10,7,14,4,12
1934,1935,"FC Sochaux-Montbéliard",22,4,4,12,11,7
1934,1935,"Olympique d'Alès",10,3,17,5,9,16
1934,1935,"Olympique de Marseille",13,5,12,14,5,11
1934,1935,"Olympique Lillois",14,3,13,17,7,6
1934,1935,"RC Paris",16,5,9,20,4,6
1934,1935,"RC Strasbourg",21,5,4,18,3,9
1934,1935,"SC Fives",12,1,17,14,3,13
1934,1935,"Stade Rennais FC",11,5,14,10,8,12
1935,1936,"AS Cannes",15,5,10,8,9,13
1935,1936,"AS Red Star 93",8,3,19,12,7,11
1935,1936,"EAC Roubaix",13,5,12,13,5,12
1935,1936,"FC Antibes",10,5,15,11,4,15
1935,1936,"FC Metz",12,3,15,13,6,11
1935,1936,"FC Mulhouse",8,6,16,6,3,21
1935,1936,"FC Sète 34",14,4,12,11,8,11
1935,1936,"FC Sochaux-Montbéliard",12,11,7,16,6,8
1935,1936,"Olympique de Marseille",14,5,11,17,4,9
1935,1936,"Olympique Lillois",17,7,6,14,6,10
1935,1936,"RC Paris",20,4,6,17,3,10
1935,1936,"RC Strasbourg",18,3,9,12,9,9
1935,1936,"SC Fives",14,3,13,12,4,14
1935,1936,"Stade Rennais FC",10,8,12,8,4,18
1936,1937,"AS Cannes",8,9,13,8,11,11
1936,1937,"AS Red Star 93",12,7,11,6,7,17
1936,1937,"EAC Roubaix",13,5,12,10,12,8
1936,1937,"FC Antibes",11,4,15,9,9,12
1936,1937,"FC Metz",13,6,11,8,11,11
1936,1937,"FC Rouen 1899",15,5,10,14,8,8
1936,1937,"FC Sète 34",11,8,11,16,9,5
1936,1937,"FC Sochaux-Montbéliard",16,6,8,18,8,4
1936,1937,"Olympique de Marseille",17,4,9,15,12,3
1936,1937,"Olympique Lillois",14,6,10,10,9,11
1936,1937,"RC Paris",17,3,10,9,8,13
1936,1937,"RC Roubaix",11,5,14,11,6,13
1936,1937,"RC Strasbourg",12,9,9,12,9,9
1936,1937,"SC Fives",12,4,14,7,12,11
1937,1938,"AS Cannes",8,11,11,11,5,14
1937,1938,"EAC Roubaix",10,12,8,8,8,14
1937,1938,"FC Antibes",9,9,12,6,9,15
1937,1938,"FC Metz",8,11,11,12,7,11
1937,1938,"FC Rouen 1899",14,8,8,6,9,15
1937,1938,"FC Sète 34",16,9,5,19,4,7
1937,1938,"FC Sochaux-Montbéliard",18,8,4,14,4,12
1937,1938,"Olympique de Marseille",15,12,3,18,4,8
1937,1938,"Olympique Lillois",10,9,11,14,5,10
1937,1938,"RC Lens",9,8,13,11,9,10
1937,1938,"RC Paris",9,8,13,15,8,7
1937,1938,"RC Roubaix",11,6,13,4,9,17
1937,1938,"RC Strasbourg",12,9,9,10,8,12
1937,1938,"SC Fives",7,12,11,13,5,12
1945,1946,"AS Cannes",12,10,12,17,4,17
1945,1946,"AS Red Star 93",12,9,13,15,9,14
1945,1946,"AS Saint-Etienne",20,4,10,13,11,14
1945,1946,"CO Roubaix-Tourcoing",15,11,8,24,5,9
1945,1946,"FC Metz",10,5,19,12,13,13
1945,1946,"FC Rouen 1899",14,8,12,7,10,21
1945,1946,"FC Sète 34",13,6,15,12,11,15
1945,1946,"Girondins de Bordeaux",11,9,14,12,8,18
1945,1946,"Havre AC",13,4,17,9,7,22
1945,1946,"LOSC Lille",19,7,8,20,7,11
1945,1946,"Olympique de Marseille",12,10,12,16,12,10
1945,1946,"RC Lens",14,8,12,12,7,19
1945,1946,"RC Paris",16,3,15,14,5,19
1945,1946,"RC Strasbourg",13,7,14,21,7,10
1945,1946,"Stade de Reims",15,10,9,22,5,11
1945,1946,"Stade Rennais FC",13,11,10,16,6,16
1946,1947,"AS Cannes",17,4,17,10,9,15
1946,1947,"AS Red Star 93",15,9,14,6,4,24
1946,1947,"AS Saint-Etienne",13,11,14,16,9,9
1946,1947,"CO Roubaix-Tourcoing",24,5,9,15,7,12
1946,1947,"FC Metz",12,13,13,13,4,17
1946,1947,"FC Nancy",13,10,15,11,8,15
1946,1947,"FC Sète 34",12,11,15,11,4,19
1946,1947,"LOSC Lille",20,7,11,20,7,7
1946,1947,"Olympique de Marseille",16,12,10,20,8,6
1946,1947,"RC Paris",14,5,19,16,5,13
1946,1947,"RC Strasbourg",21,7,10,13,11,10
1946,1947,"SO Montpellier",14,5,19,10,8,16
1946,1947,"Stade de Reims",22,5,11,20,6,8
1946,1947,"Stade Français",19,8,11,15,8,11
1946,1947,"Stade Rennais FC",16,6,16,13,8,13
1946,1947,"Toulouse FC",15,4,19,13,3,18
1947,1948,"AS Cannes",10,9,15,10,5,19
1947,1948,"AS Red Star 93",6,4,24,10,12,12
1947,1948,"AS Saint-Etienne",16,9,9,13,9,12
1947,1948,"CO Roubaix-Tourcoing",15,7,12,11,7,16
1947,1948,"FC Metz",13,4,17,10,6,18
1947,1948,"FC Nancy",11,8,15,11,6,17
1947,1948,"FC Sète 34",11,4,19,10,9,15
1947,1948,"FC Sochaux-Montbéliard",13,8,13,16,6,12
1947,1948,"LOSC Lille",20,7,7,21,5,8
1947,1948,"Olympique de Marseille",20,8,6,18,6,10
1947,1948,"RC Paris",16,5,13,14,8,12
1947,1948,"RC Strasbourg",13,11,10,10,6,18
1947,1948,"SO Montpellier",10,8,16,12,5,17
1947,1948,"Stade de Reims",20,6,8,22,4,8
1947,1948,"Stade Rennais FC",13,8,13,16,9,9
1947,1948,"Toulouse FC",13,3,18,16,2,16
1948,1949,"AS Red Star 93",10,12,12,9,8,17
1948,1949,"AS Saint-Etienne",13,9,12,12,8,14
1948,1949,"CO Roubaix-Tourcoing",11,7,16,9,15,10
1948,1949,"FC Metz",10,6,18,5,7,22
1948,1949,"FC Nancy",11,6,17,12,7,15
1948,1949,"FC Sète 34",10,9,15,12,5,17
1948,1949,"FC Sochaux-Montbéliard",16,6,12,16,6,12
1948,1949,"LOSC Lille",21,5,8,20,5,9
1948,1949,"OGC Nice",13,10,11,16,7,11
1948,1949,"Olympique de Marseille",18,6,10,13,9,12
1948,1949,"RC Paris",14,8,12,14,8,12
1948,1949,"RC Strasbourg",10,6,18,11,9,14
1948,1949,"SO Montpellier",12,5,17,10,3,21
1948,1949,"Stade de Reims",22,4,8,18,8,8
1948,1949,"Stade Rennais FC",16,9,9,12,10,12
1948,1949,"Toulouse FC",16,2,16,16,10,8
1949,1950,"AS Red Star 93",9,8,17,7,7,20
1949,1950,"AS Saint-Etienne",12,8,14,15,7,12
1949,1950,"CO Roubaix-Tourcoing",9,15,10,12,8,14
1949,1950,"FC Nancy",12,7,15,13,6,15
1949,1950,"FC Sète 34",12,5,17,12,6,16
1949,1950,"FC Sochaux-Montbéliard",16,6,12,13,6,15
1949,1950,"Girondins de Bordeaux",21,9,4,14,9,11
1949,1950,"LOSC Lille",20,5,9,17,7,10
1949,1950,"OGC Nice",16,7,11,18,5,11
1949,1950,"Olympique de Marseille",13,9,12,11,14,9
1949,1950,"RC Lens",9,8,17,10,9,15
1949,1950,"RC Paris",14,8,12,12,8,14
1949,1950,"RC Strasbourg",11,9,14,14,6,14
1949,1950,"Stade de Reims",18,8,8,15,10,9
1949,1950,"Stade Rennais FC",12,10,12,13,5,16
1949,1950,"Toulouse FC",16,10,8,10,7,17
1950,1951,"AS Saint-Etienne",15,7,12,15,6,13
1950,1951,"CO Roubaix-Tourcoing",12,8,14,14,8,12
1950,1951,"FC Nancy",13,6,15,12,11,11
1950,1951,"FC Sète 34",12,6,16,14,8,12
1950,1951,"FC Sochaux-Montbéliard",13,6,15,12,7,15
1950,1951,"Girondins de Bordeaux",14,9,11,20,5,9
1950,1951,"Havre AC",18,4,12,15,7,12
1950,1951,"LOSC Lille",17,7,10,19,6,9
1950,1951,"Nîmes Olympique",16,8,10,16,5,13
1950,1951,"OGC Nice",18,5,11,21,4,9
1950,1951,"Olympique de Marseille",11,14,9,9,10,15
1950,1951,"RC Lens",10,9,15,12,7,15
1950,1951,"RC Paris",12,8,14,12,6,16
1950,1951,"RC Strasbourg",14,6,14,4,8,22
1950,1951,"Stade de Reims",15,10,9,16,6,12
1950,1951,"Stade Rennais FC",13,5,16,10,8,16
1951,1952,"AS Saint-Etienne",15,6,13,11,8,15
1951,1952,"CO Roubaix-Tourcoing",14,8,12,9,10,15
1951,1952,"FC Metz",14,10,10,11,7,16
1951,1952,"FC Nancy",12,11,11,16,2,16
1951,1952,"FC Sète 34",14,8,12,13,7,14
1951,1952,"FC Sochaux-Montbéliard",12,7,15,18,8,8
1951,1952,"Girondins de Bordeaux",20,5,9,19,5,10
1951,1952,"Havre AC",15,7,12,11,7,16
1951,1952,"LOSC Lille",19,6,9,15,10,9
1951,1952,"Nîmes Olympique",16,5,13,17,6,11
1951,1952,"OGC Nice",21,4,9,12,5,17
1951,1952,"Olympique de Marseille",9,10,15,15,7,12
1951,1952,"RC Lens",12,7,15,13,8,13
1951,1952,"RC Paris",12,6,16,11,6,17
1951,1952,"Stade de Reims",16,6,12,22,4,8
