start;id;short_name;tsr_for;tsr_against;goals_for;goals_against;goals_diff;shots_for;shots_against;points_for;points_against
2012;124;Marseille;0.628;0.372;42;36;6;484;272;71;35
2012;136;Bordeaux;0.624;0.376;40;34;6;474;287;55;43
2012;131;Lyon;0.611;0.389;61;38;23;471;299;67;37
2012;128;St Etienne;0.604;0.396;60;32;28;424;289;63;36
2012;135;Montpellier;0.601;0.399;54;51;3;462;318;52;55
2012;142;PSG;0.58;0.42;69;23;46;504;356;83;23
2012;139;Nice;0.573;0.427;57;46;11;419;327;64;40
2012;129;Lille;0.573;0.427;59;40;19;349;278;62;38
2012;134;Lorient;0.543;0.457;57;58;-1;377;324;53;50
2012;147;Nancy;0.485;0.515;38;58;-20;339;385;38;65
2012;145;Ajaccio;0.475;0.525;39;51;-12;337;394;42;57
2012;140;Toulouse;0.462;0.538;49;47;2;291;353;51;51
2012;148;Brest;0.46;0.54;32;62;-30;329;395;29;80
2012;125;Evian;0.45;0.55;44;53;-9;299;363;37;64
2012;141;Reims;0.431;0.569;33;42;-9;344;453;43;58
2012;143;Sochaux;0.419;0.581;41;57;-16;273;404;41;62
2012;144;Valenciennes;0.398;0.602;49;53;-4;277;426;48;54
2012;123;Bastia;0.387;0.613;50;66;-16;258;407;47;59
2012;132;Rennes;0.367;0.633;48;59;-11;192;350;46;61
2012;146;Troyes;0.324;0.676;43;59;-16;197;420;37;61
2013;142;PSG;0.643;0.357;84;23;61;594;322;89;17
2013;133;Monaco;0.626;0.374;63;31;32;534;324;80;23
2013;129;Lille;0.62;0.381;46;26;20;498;296;71;32
2013;131;Lyon;0.596;0.404;56;44;12;491;326;61;43
2013;124;Marseille;0.586;0.414;53;40;13;491;354;60;42
2013;136;Bordeaux;0.579;0.421;49;43;6;457;348;53;47
2013;128;St Etienne;0.551;0.449;56;34;22;429;336;68;35
2013;135;Montpellier;0.544;0.456;45;53;-8;449;386;42;54
2013;137;Nantes;0.526;0.474;38;43;-5;397;376;47;56
2013;127;Guingamp;0.523;0.477;34;42;-8;443;410;42;63
2013;134;Lorient;0.506;0.494;48;53;-5;386;381;49;55
2013;144;Valenciennes;0.463;0.537;37;65;-28;320;388;29;77
2013;140;Toulouse;0.453;0.547;45;52;-7;331;414;48;51
2013;125;Evian;0.45;0.55;39;51;-12;323;407;44;59
2013;141;Reims;0.444;0.556;44;52;-8;384;502;48;54
2013;139;Nice;0.441;0.559;30;44;-14;329;433;42;66
2013;123;Bastia;0.389;0.612;42;56;-14;239;395;47;56
2013;143;Sochaux;0.386;0.614;37;61;-24;294;465;40;64
2013;132;Rennes;0.379;0.621;47;45;2;264;483;45;54
2013;145;Ajaccio;0.287;0.713;36;71;-35;190;497;22;79
