start;id;short_name;tsr_for;tsr_against;goals_for;goals_against;goals_diff;shots_for;shots_against;points_for;points_against
2014;142;PSG;0.581;0.419;38;19;19;270;209;41;14
2014;124;Marseille;0.573;0.427;41;20;21;329;241;44;17
2014;128;St Etienne;0.57;0.43;24;13;11;252;196;40;16
2014;131;Lyon;0.567;0.433;45;17;28;301;221;45;15
2014;129;Lille;0.555;0.445;17;18;-1;260;202;27;30
2014;133;Monaco;0.546;0.454;24;18;6;256;211;36;21
2014;137;Nantes;0.542;0.458;19;18;1;254;216;31;25
2014;139;Nice;0.507;0.493;26;28;-2;234;227;28;31
2014;134;Lorient;0.5;0.5;23;29;-6;262;254;23;38
2014;136;Bordeaux;0.496;0.504;27;29;-2;242;246;32;26
2014;126;Caen;0.48;0.52;26;34;-8;255;286;18;39
2014;130;Metz;0.477;0.523;19;30;-11;238;257;20;38
2014;140;Toulouse;0.475;0.525;23;33;-10;232;266;22;37
2014;138;Lens;0.474;0.526;20;28;-8;226;256;19;40
2014;141;Reims;0.459;0.541;27;36;-9;234;276;28;31
2014;127;Guingamp;0.454;0.546;23;33;-10;209;260;25;37
2014;132;Rennes;0.452;0.548;22;25;-3;201;237;30;27
2014;125;Evian;0.451;0.549;23;38;-15;181;226;20;41
2014;135;Montpellier;0.449;0.551;26;22;4;217;263;32;26
2014;123;Bastia;0.393;0.607;21;26;-5;167;270;22;34
